Commodity, Weight in Kg, Price in Rs
Brinjal/கத்தரிக்காய், 1, 38
Tomotto ottu/தக்காளி ஒட்டு, 1, 16
LadyFinger/வெண்டைக்காய், 1, 16
SnakeGuard/புடலங்காய், 1, 18
BitterGourd/பாகற்காய், 1, 32
Bottlegourd/சுரைக்காய், 1, 08
Pumpkin/பூசணிக்காய், 1, 14
Bean/அவரை, 1, 38
ClusterBeans/கொத்தவரை, 1, 18
Red Chillies/குண்டு மிளகாய், 1, 34
Onion/வெங்காயம், 1, 60
Pallari/பல்லாரி, 1, 50
Ginger/இஞ்சி, 1, 100
Potato/உருளைக்கிழங்கு, 1, 20
Radish/முள்ளங்கி, 1, 18
Mango/மாங்காய், 1, 66
Cabbage/முட்டைக்கோஸ், 1, 24
Carrot/கேரட், 1, 40
Beetroot/பீட்ரூட், 1, 28
Soybeans/சோயாபீன்ஸ், 1, 70
Drumstickbeans/முருங்கைபீன்ஸ், 1, 48
butterbeans/பட்டர்பீன்ஸ், 1, 70
Banana nut/வாழைக்காய், 1, 04
Banana stem/வாழைத்தண்டு, 1, 08
BananaFlower/வாழைப்பூ, 1, 08
Curry leaves/கருவேப்பிலை, 1, 20
Coriander leaves/மல்லி இலை, 1, 40
Mint/புதினா, 1, 30
GreensLeaves/கீரைக்கட்டு, 1, 08
Garlic/பூண்டு, 1, 100 to 130
ButtonMushrooms/ பட்டன்காளான், 1, 190
Papaya/ பப்பாளிப்பழம், 1, 20
SavSav/ சவ்சவ், 1, 26
