,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal/கத்தரிக்காய், 1, 32,2013-12-15
1,Tomotto ottu/தக்காளி ஒட்டு, 1, 22,2013-12-15
2,LadyFinger/வெண்டைக்காய், 1, 20,2013-12-15
3,SnakeGuard/புடலங்காய், 1, 20,2013-12-15
4,BitterGourd/பாகற்காய், 1, 28,2013-12-15
5,Bottlegourd/சுரைக்காய், 1, 14,2013-12-15
6,Pumpkin/பூசணிக்காய், 1, 14,2013-12-15
7,Bean/அவரை, 1, 40,2013-12-15
8,ClusterBeans/கொத்தவரை, 1, 24,2013-12-15
9,Red Chillies/குண்டு மிளகாய், 1, 30,2013-12-15
10,Onion/வெங்காயம், 1, 50,2013-12-15
11,Pallari/பல்லாரி, 1, 35,2013-12-15
12,Ginger/இஞ்சி, 1, 90,2013-12-15
13,Potato/உருளைக்கிழங்கு, 1, 34,2013-12-15
14,Radish/முள்ளங்கி, 1, 16,2013-12-15
15,Mango/மாங்காய், 1, 40,2013-12-15
16,Cabbage/முட்டைக்கோஸ், 1, 22,2013-12-15
17,Carrot/கேரட், 1, 32,2013-12-15
18,Beetroot/பீட்ரூட், 1, 20,2013-12-15
19,Soybeans/சோயாபீன்ஸ், 1, 70,2013-12-15
20,Drumstickbeans/முருங்கைபீன்ஸ், 1, 36,2013-12-15
21,butterbeans/பட்டர்பீன்ஸ், 1, 85,2013-12-15
22,Banana nut/வாழைக்காய், 1 piece, 03,2013-12-15
23,Banana stem/வாழைத்தண்டு, 1, 10,2013-12-15
24,BananaFlower/வாழைப்பூ, 1, 10,2013-12-15
25,Curry leaves/கருவேப்பிலை, 1, 20,2013-12-15
26,Coriander leaves/மல்லி இலை, 1, 40,2013-12-15
27,Mint/புதினா, 1, 30,2013-12-15
28,GreensLeaves/கீரைக்கட்டு, 1, 10,2013-12-15
29,Garlic/பூண்டு, 1, 80 to 120,2013-12-15
30,ButtonMushrooms/ பட்டன்காளான், 1, 195,2013-12-15
31,Papaya/ பப்பாளிப்பழம், 1, 24,2013-12-15
32,SavSav/ சவ்சவ், 1, 24,2013-12-15
