,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal/கத்தரிக்காய்,1, 44,2013-9-26
1,Tomotto ottu/தக்காளி ஒட்டு,1, 16,2013-9-26
2,LadyFinger/வெண்டைக்காய்,1, 18,2013-9-26
3,SnakeGuard/புடலங்காய்,1, 18,2013-9-26
4,BitterGourd/பாகற்காய்,1, 36,2013-9-26
5,Bottlegourd/சுரைக்காய்,1, 12,2013-9-26
6,Pumpkin/பூசணிக்காய்,1, 14,2013-9-26
7,Bean/அவரை,1, 46,2013-9-26
8,ClusterBeans/கொத்தவரை,1, 18,2013-9-26
9,Red Chillies/குண்டு மிளகாய்,1, 40,2013-9-26
10,Onion/வெங்காயம்,1, 55,2013-9-26
11,Pallari/பல்லாரி,1, 50,2013-9-26
12,Ginger/இஞ்சி,1, 100,2013-9-26
13,Potato/உருளைக்கிழங்கு,1, 26,2013-9-26
14,Radish/முள்ளங்கி,1, 14,2013-9-26
15,Mango/மாங்காய்,1, 80,2013-9-26
16,Cabbage/முட்டைக்கோஸ்,1, 24,2013-9-26
17,Carrot/கேரட்,1, 34,2013-9-26
18,Beetroot/பீட்ரூட்,1, 24,2013-9-26
19,Soybeans/சோயாபீன்ஸ்,1, 70,2013-9-26
20,Drumstickbeans/முருங்கைபீன்ஸ்,1, 50,2013-9-26
21,butterbeans/பட்டர்பீன்ஸ்,1, 70,2013-9-26
22,Banana nut/வாழைக்காய்,1, 03,2013-9-26
23,Banana stem/வாழைத்தண்டு,1, 07,2013-9-26
24,BananaFlower/வாழைப்பூ,1, 07,2013-9-26
25,Curry leaves/கருவேப்பிலை,1, 20,2013-9-26
26,Coriander leaves/மல்லி இலை,1, 40,2013-9-26
27,Mint/புதினா,1, 30,2013-9-26
28,GreensLeaves/கீரைக்கட்டு,1, 08,2013-9-26
29,Garlic/பூண்டு,1, 100 to 130,2013-9-26
30,ButtonMushrooms/ பட்டன்காளான்,1, 188,2013-9-26
31,Papaya/ பப்பாளிப்பழம்,1, 20,2013-9-26
32,SavSav/ சவ்சவ்,1, 24,2013-9-26
