,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal/கத்தரிக்காய், 1, 26,2013-11-17
1,Tomotto ottu/தக்காளி ஒட்டு, 1, 44,2013-11-17
2,LadyFinger/வெண்டைக்காய், 1, 18,2013-11-17
3,SnakeGuard/புடலங்காய், 1, 20,2013-11-17
4,BitterGourd/பாகற்காய், 1, 32,2013-11-17
5,Bottlegourd/சுரைக்காய், 1, 12,2013-11-17
6,Pumpkin/பூசணிக்காய், 1, 14,2013-11-17
7,Bean/அவரை, 1, 44,2013-11-17
8,ClusterBeans/கொத்தவரை, 1, 18,2013-11-17
9,Red Chillies/குண்டு மிளகாய், 1, 30,2013-11-17
10,Onion/வெங்காயம், 1, 74,2013-11-17
11,Pallari/பல்லாரி, 1, 60,2013-11-17
12,Ginger/இஞ்சி, 1, 90,2013-11-17
13,Potato/உருளைக்கிழங்கு, 1, 30,2013-11-17
14,Radish/முள்ளங்கி, 1, 20,2013-11-17
15,Mango/மாங்காய், 1, 60,2013-11-17
16,Cabbage/முட்டைக்கோஸ், 1, 20,2013-11-17
17,Carrot/கேரட், 1, 34,2013-11-17
18,Beetroot/பீட்ரூட், 1, 26,2013-11-17
19,Soybeans/சோயாபீன்ஸ், 1, 80,2013-11-17
20,Drumstickbeans/முருங்கைபீன்ஸ், 1, 46,2013-11-17
21,butterbeans/பட்டர்பீன்ஸ், 1, 90,2013-11-17
22,Banana nut/வாழைக்காய், 1 piece, 03,2013-11-17
23,Banana stem/வாழைத்தண்டு, 1, 8,2013-11-17
24,BananaFlower/வாழைப்பூ, 1, 8,2013-11-17
25,Curry leaves/கருவேப்பிலை, 1, 20,2013-11-17
26,Coriander leaves/மல்லி இலை, 1, 60,2013-11-17
27,Mint/புதினா, 1, 40,2013-11-17
28,GreensLeaves/கீரைக்கட்டு, 1, 8,2013-11-17
29,Garlic/பூண்டு, 1, 100 to 120,2013-11-17
30,ButtonMushrooms/ பட்டன்காளான், 1, 190,2013-11-17
31,Papaya/ பப்பாளிப்பழம், 1, 20,2013-11-17
32,SavSav/ சவ்சவ், 1, 24,2013-11-17
