,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal/கத்தரிக்காய், 1, 40,2013-11-19
1,Tomotto ottu/தக்காளி ஒட்டு, 1, 44,2013-11-19
2,LadyFinger/வெண்டைக்காய், 1, 20,2013-11-19
3,SnakeGuard/புடலங்காய், 1, 18,2013-11-19
4,BitterGourd/பாகற்காய், 1, 28,2013-11-19
5,Bottlegourd/சுரைக்காய், 1, 14,2013-11-19
6,Pumpkin/பூசணிக்காய், 1, 16,2013-11-19
7,Bean/அவரை, 1, 40,2013-11-19
8,ClusterBeans/கொத்தவரை, 1, 26,2013-11-19
9,Red Chillies/குண்டு மிளகாய், 1, 28,2013-11-19
10,Onion/வெங்காயம், 1, 74,2013-11-19
11,Pallari/பல்லாரி, 1, 60,2013-11-19
12,Ginger/இஞ்சி, 1, 90,2013-11-19
13,Potato/உருளைக்கிழங்கு, 1, 40,2013-11-19
14,Radish/முள்ளங்கி, 1, 20,2013-11-19
15,Mango/மாங்காய், 1, 70,2013-11-19
16,Cabbage/முட்டைக்கோஸ், 1, 28,2013-11-19
17,Carrot/கேரட், 1, 50,2013-11-19
18,Beetroot/பீட்ரூட், 1, 26,2013-11-19
19,Soybeans/சோயாபீன்ஸ், 1, 80,2013-11-19
20,Drumstickbeans/முருங்கைபீன்ஸ், 1, 36,2013-11-19
21,butterbeans/பட்டர்பீன்ஸ், 1, 90,2013-11-19
22,Banana nut/வாழைக்காய், 1 piece, 04,2013-11-19
23,Banana stem/வாழைத்தண்டு, 1, 10,2013-11-19
24,BananaFlower/வாழைப்பூ, 1, 10,2013-11-19
25,Curry leaves/கருவேப்பிலை, 1, 20,2013-11-19
26,Coriander leaves/மல்லி இலை, 1, 40,2013-11-19
27,Mint/புதினா, 1, 30,2013-11-19
28,GreensLeaves/கீரைக்கட்டு, 1, 10,2013-11-19
29,Garlic/பூண்டு, 1, 100 to 140,2013-11-19
30,ButtonMushrooms/ பட்டன்காளான், 1, 188,2013-11-19
31,Papaya/ பப்பாளிப்பழம், 1, 20,2013-11-19
32,SavSav/ சவ்சவ், 1, 26,2013-11-19
