,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal/கத்தரிக்காய், 1, 28,2013-11-14
1,Tomotto ottu/தக்காளி ஒட்டு, 1, 34,2013-11-14
2,LadyFinger/வெண்டைக்காய், 1, 18,2013-11-14
3,SnakeGuard/புடலங்காய், 1, 20,2013-11-14
4,BitterGourd/பாகற்காய், 1, 30,2013-11-14
5,Bottlegourd/சுரைக்காய், 1, 12,2013-11-14
6,Pumpkin/பூசணிக்காய், 1, 16,2013-11-14
7,Bean/அவரை, 1, 42,2013-11-14
8,ClusterBeans/கொத்தவரை, 1, 18,2013-11-14
9,Red Chillies/குண்டு மிளகாய், 1, 34,2013-11-14
10,Onion/வெங்காயம், 1, 75,2013-11-14
11,Pallari/பல்லாரி, 1, 64,2013-11-14
12,Ginger/இஞ்சி, 1, 90,2013-11-14
13,Potato/உருளைக்கிழங்கு, 1, 34,2013-11-14
14,Radish/முள்ளங்கி, 1, 18,2013-11-14
15,Mango/மாங்காய், 1, 66,2013-11-14
16,Cabbage/முட்டைக்கோஸ், 1, 26,2013-11-14
17,Carrot/கேரட், 1, 32,2013-11-14
18,Beetroot/பீட்ரூட், 1, 28,2013-11-14
19,Soybeans/சோயாபீன்ஸ், 1, 80,2013-11-14
20,Drumstickbeans/முருங்கைபீன்ஸ், 1, 50,2013-11-14
21,butterbeans/பட்டர்பீன்ஸ், 1, 88,2013-11-14
22,Banana nut/வாழைக்காய், 1 piece, 04,2013-11-14
23,Banana stem/வாழைத்தண்டு, 1, 8,2013-11-14
24,BananaFlower/வாழைப்பூ, 1, 8,2013-11-14
25,Curry leaves/கருவேப்பிலை, 1, 20,2013-11-14
26,Coriander leaves/மல்லி இலை, 1, 60,2013-11-14
27,Mint/புதினா, 1, 40,2013-11-14
28,GreensLeaves/கீரைக்கட்டு, 1, 8,2013-11-14
29,Garlic/பூண்டு, 1, 100 to 120,2013-11-14
30,ButtonMushrooms/ பட்டன்காளான், 1, 188,2013-11-14
31,Papaya/ பப்பாளிப்பழம், 1, 20,2013-11-14
32,SavSav/ சவ்சவ், 1, 26,2013-11-14
