,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal/கத்தரிக்காய், 1, 32,2013-11-5
1,Tomotto ottu/தக்காளி ஒட்டு, 1, 30,2013-11-5
2,LadyFinger/வெண்டைக்காய், 1, 12,2013-11-5
3,SnakeGuard/புடலங்காய், 1, 20,2013-11-5
4,BitterGourd/பாகற்காய், 1, 32,2013-11-5
5,Bottlegourd/சுரைக்காய், 1, 12,2013-11-5
6,Pumpkin/பூசணிக்காய், 1, 16,2013-11-5
7,Bean/அவரை, 1, 52,2013-11-5
8,ClusterBeans/கொத்தவரை, 1, 18,2013-11-5
9,Red Chillies/குண்டு மிளகாய், 1, 32,2013-11-5
10,Onion/வெங்காயம், 1, 68,2013-11-5
11,Pallari/பல்லாரி, 1, 64,2013-11-5
12,Ginger/இஞ்சி, 1, 100,2013-11-5
13,Potato/உருளைக்கிழங்கு, 1, 28,2013-11-5
14,Radish/முள்ளங்கி, 1, 18,2013-11-5
15,Mango/மாங்காய், 1, 50,2013-11-5
16,Cabbage/முட்டைக்கோஸ், 1, 26,2013-11-5
17,Carrot/கேரட், 1, 42,2013-11-5
18,Beetroot/பீட்ரூட், 1, 26,2013-11-5
19,Soybeans/சோயாபீன்ஸ், 1, 70,2013-11-5
20,Drumstickbeans/முருங்கைபீன்ஸ், 1, 48,2013-11-5
21,butterbeans/பட்டர்பீன்ஸ், 1, 74,2013-11-5
22,Banana nut/வாழைக்காய், 1 piece, 03,2013-11-5
23,Banana stem/வாழைத்தண்டு, 1, 7,2013-11-5
24,BananaFlower/வாழைப்பூ, 1, 7,2013-11-5
25,Curry leaves/கருவேப்பிலை, 1, 20,2013-11-5
26,Coriander leaves/மல்லி இலை, 1, 40,2013-11-5
27,Mint/புதினா, 1, 30,2013-11-5
28,GreensLeaves/கீரைக்கட்டு, 1, 8,2013-11-5
29,Garlic/பூண்டு, 1, 100 to 130,2013-11-5
30,ButtonMushrooms/ பட்டன்காளான், 1, 188,2013-11-5
31,Papaya/ பப்பாளிப்பழம், 1, 20,2013-11-5
32,SavSav/ சவ்சவ், 1, 26,2013-11-5
