,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Avarai Belt, 1, 44,2015-7-28
1,1,Avarai Kolee, 1, 30,2015-7-28
2,2,Avarai ottu, 1, –,2015-7-28
3,3,Beans, 1, 29,2015-7-28
4,4,Beetroot, 1, 8,2015-7-28
5,5,Bellary, 1, 26,2015-7-28
6,6,C Flower, 1 Flower, 10,2015-7-28
7,7,C Vengayam, 1, 40,2015-7-28
8,8,Chaw Chaw, 1, 20,2015-7-28
9,9,Kaththari Disco, 1, 8,2015-7-28
10,10,Kaththari Green, 1, 7,2015-7-28
11,11,Kothavarai, 1, 10,2015-7-28
12,12,Milagai Samba, 1, 22,2015-7-28
13,13,Milagai urundai, 1, 25,2015-7-28
14,14,Mullaingi, 1, 5,2015-7-28
15,15,Murungai chedi, 1, 18,2015-7-28
16,16,Murungai Maram, 1, 15,2015-7-28
17,17,Nelli, 1, 22,2015-7-28
18,18,Pavarkai, 1, 12,2015-7-28
19,19,Perkangkai, 1, 10,2015-7-28
20,20,Pudalai, 1, 6,2015-7-28
21,21,Red Pusanikkai, 1, 6,2015-7-28
22,22,Sambar Vellari, 1, 4,2015-7-28
23,23,Suraikai, 1, 6,2015-7-28
24,24,Thakkali, 1, 18,2015-7-28
25,25,Thatta payaru, 1, 12,2015-7-28
26,26,Vendai, 1, 20,2015-7-28
27,27,Lemon, 1, 28,2015-7-28
