,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Avarai Belt, 1, 25,2015-3-10
1,1,Avarai Kolee, 1, 12,2015-3-10
2,2,Avarai ottu, 1, –,2015-3-10
3,3,Beans, 1, 12,2015-3-10
4,4,Beetroot, 1, 3,2015-3-10
5,5,Bellary, 1, 20,2015-3-10
6,6,C Flower, 1 Flower, 10,2015-3-10
7,7,C Vengayam, 1, 19,2015-3-10
8,8,Chaw Chaw, 1, 20,2015-3-10
9,9,Kaththari Disco, 1, 4,2015-3-10
10,10,Kaththari Green, 1, 5,2015-3-10
11,11,Kothavarai, 1, 20,2015-3-10
12,12,Milagai Samba, 1, 11,2015-3-10
13,13,Milagai urundai, 1, 10,2015-3-10
14,14,Mullaingi, 1, 8,2015-3-10
15,15,Murungai chedi, 1, 35,2015-3-10
16,16,Murungai Maram, 1, 35,2015-3-10
17,17,Nelli, 1, 18,2015-3-10
18,18,Pavarkai, 1, 10,2015-3-10
19,19,Perkangkai, 1, 8,2015-3-10
20,20,Pudalai, 1, 2,2015-3-10
21,21,Red Pusanikkai, 1, 4,2015-3-10
22,22,Sambar Vellari, 1, 5,2015-3-10
23,23,Suraikai, 1, 2,2015-3-10
24,24,Thakkali, 1, 5,2015-3-10
25,25,Thatta payaru, 1, 13,2015-3-10
26,26,Vendai, 1, 8,2015-3-10
