,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Avarai Belt, 1, 44,2015- 7-2
1,1,Avarai Kolee, 1, 30,2015- 7-2
2,2,Avarai ottu, 1, –,2015- 7-2
3,3,Beans, 1, 35,2015- 7-2
4,4,Beetroot, 1, 7,2015- 7-2
5,5,Bellary, 1, 25,2015- 7-2
6,6,C Flower, 1 Flower, 8,2015- 7-2
7,7,C Vengayam, 1, 50,2015- 7-2
8,8,Chaw Chaw, 1, 20,2015- 7-2
9,9,Kaththari Disco, 1, 10,2015- 7-2
10,10,Kaththari Green, 1, 6,2015- 7-2
11,11,Kothavarai, 1, 10,2015- 7-2
12,12,Milagai Samba, 1, 14,2015- 7-2
13,13,Milagai urundai, 1, 13,2015- 7-2
14,14,Mullaingi, 1, 4,2015- 7-2
15,15,Murungai chedi, 1, 25,2015- 7-2
16,16,Murungai Maram, 1, 18,2015- 7-2
17,17,Nelli, 1, 20,2015- 7-2
18,18,Pavarkai, 1, 14,2015- 7-2
19,19,Perkangkai, 1, 7,2015- 7-2
20,20,Pudalai, 1, 10,2015- 7-2
21,21,Red Pusanikkai, 1, 7,2015- 7-2
22,22,Sambar Vellari, 1, 4,2015- 7-2
23,23,Suraikai, 1, 8,2015- 7-2
24,24,Thakkali, 1, 22,2015- 7-2
25,25,Thatta payaru, 1, 12,2015- 7-2
26,26,Vendai, 1, 20,2015- 7-2
