,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai Belt, 1, 50,2015- 2-7
1,Avarai Kolee, 1, 20,2015- 2-7
2,Avarai ottu, 1, –,2015- 2-7
3,Beans, 1, 10,2015- 2-7
4,Beetroot, 1, 5,2015- 2-7
5,Bellary, 1, 18,2015- 2-7
6,C Flower, 1 Flower, 6,2015- 2-7
7,C Vengayam, 1, 25,2015- 2-7
8,Chaw Chaw, 1, 20,2015- 2-7
9,Kaththari Disco, 1, 4,2015- 2-7
10,Kaththari Green, 1, 6,2015- 2-7
11,Kothavarai, 1, 20,2015- 2-7
12,Milagai Samba, 1, 11,2015- 2-7
13,Milagai urundai, 1, 16,2015- 2-7
14,Mullaingi, 1, 8,2015- 2-7
15,Murungai chedi, 1, 115,2015- 2-7
16,Murungai Maram, 1, 90,2015- 2-7
17,Nelli, 1, 12,2015- 2-7
18,Pavarkai, 1, 18,2015- 2-7
19,Perkangkai, 1, 12,2015- 2-7
20,Pudalai, 1, 2,2015- 2-7
21,Red Pusanikkai, 1, 4,2015- 2-7
22,Sambar Vellari, 1, 5,2015- 2-7
23,Suraikai, 1, 2,2015- 2-7
24,Thakkali, 1, 5,2015- 2-7
25,Thatta payaru, 1, 15,2015- 2-7
26,Vendai, 1, 7,2015- 2-7
