,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Avarai Belt, 1, 20,2015-9-14
1,1,Avarai Kolee, 1, 20,2015-9-14
2,2,Avarai ottu, 1, –,2015-9-14
3,3,Beans, 1, 13,2015-9-14
4,4,Beetroot, 1, 5,2015-9-14
5,5,Bellary, 1, 60,2015-9-14
6,6,C Flower, 1 Flower, 8,2015-9-14
7,7,C Vengayam, 1, 20,2015-9-14
8,8,Chaw Chaw, 1, 17,2015-9-14
9,9,Kaththari Disco, 1, 12,2015-9-14
10,10,Kaththari Green, 1, 15,2015-9-14
11,11,Kothavarai, 1, 9,2015-9-14
12,12,Milagai Samba, 1, 10,2015-9-14
13,13,Milagai urundai, 1, 13,2015-9-14
14,14,Mullaingi, 1, 5,2015-9-14
15,15,Murungai chedi, 1, 8,2015-9-14
16,16,Murungai Maram, 1, 6,2015-9-14
17,17,Nelli, 1, 25,2015-9-14
18,18,Pavarkai, 1, 8,2015-9-14
19,19,Perkangkai, 1, 7,2015-9-14
20,20,Pudalai, 1, 6,2015-9-14
21,21,Red Pusanikkai, 1, 5,2015-9-14
22,22,Sambar Vellari, 1, 5,2015-9-14
23,23,Suraikai, 1, 5,2015-9-14
24,24,Thakkali, 1, 3,2015-9-14
25,25,Thatta payaru, 1, 12,2015-9-14
26,26,Vendai, 1, 4,2015-9-14
27,27,Lemon, 1, 32,2015-9-14
