,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Avarai Belt, 1, 50,2015- 1-1
1,1,Avarai Kolee, 1, 20,2015- 1-1
2,2,Avarai ottu, 1, –,2015- 1-1
3,3,Beans, 1, 50,2015- 1-1
4,4,Beetroot, 1, 12,2015- 1-1
5,5,Bellary, 1, 20,2015- 1-1
6,6,C Flower, 1 Flower, 20,2015- 1-1
7,7,C Vengayam, 1, 15,2015- 1-1
8,8,Chaw Chaw, 1, 20,2015- 1-1
9,9,Kaththari Disco, 1, 10,2015- 1-1
10,10,Kaththari Green, 1, 15,2015- 1-1
11,11,Kothavarai, 1, 20,2015- 1-1
12,12,Milagai Samba, 1, 20,2015- 1-1
13,13,Milagai urundai, 1, 25,2015- 1-1
14,14,Mullaingi, 1, 8,2015- 1-1
15,15,Murungai chedi, 1, 90,2015- 1-1
16,16,Murungai Maram, 1, 80,2015- 1-1
17,17,Nelli, 1, 12,2015- 1-1
18,18,Pavarkai, 1, 20,2015- 1-1
19,19,Perkangkai, 1, 12,2015- 1-1
20,20,Pudalai, 1, 12,2015- 1-1
21,21,Red Pusanikkai, 1, 3,2015- 1-1
22,22,Sambar Vellari, 1, 5,2015- 1-1
23,23,Suraikai, 1, 8,2015- 1-1
24,24,Thakkali, 1, 8,2015- 1-1
25,25,Thatta payaru, 1, 15,2015- 1-1
26,26,Vendai, 1, 12,2015- 1-1
