,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Belt Beans / Avarai Belt, 1, 20,2015-10-14
1,1,Beans Kolee / Avarai Kolee, 1, 22,2015-10-14
2,2,Avarai ottu, 1, –,2015-10-14
3,3,Beans, 1, 15,2015-10-14
4,4,Beetroot, 1, 6,2015-10-14
5,5,Bellary / Big Onion, 1, 50,2015-10-14
6,6,Cauliflower, 1 Flower, 9,2015-10-14
7,7,Small Onion / Chinna Vengayam, 1, 45,2015-10-14
8,8,Chaw Chaw, 1, 20,2015-10-14
9,9,Disco Brinjal / Kaththari kai Disco, 1, 10,2015-10-14
10,10,Green Brinjal / Kaththari Kai Pachai, 1, 8,2015-10-14
11,11,Cluster Beans / Kothavarai, 1, 12,2015-10-14
12,12,Samba Chilli / Milagai Samba, 1, 12,2015-10-14
13,13,Round Chilli / Milagai Urundai, 1, 15,2015-10-14
14,14,Radish / Mullangi, 1, 5,2015-10-14
15,15,Drumstick / Murungai Chedi, 1, 20,2015-10-14
16,16,Drumstick / Murungai Maram, 1, 18,2015-10-14
17,17,Nelli Kai, 1, 30,2015-10-14
18,18,Bitter Gourd / Pakar kai, 1, 12,2015-10-14
19,19,Perkangkai, 1, 17,2015-10-14
20,20,Snake Guard / Pudalai, 1, 6,2015-10-14
21,21,Red Pumpkin / Red Pusanikkai, 1, 4,2015-10-14
22,22,Sambar Vellari, 1, 5,2015-10-14
23,23,Bottle gourd / Suraikai, 1, 6,2015-10-14
24,24,Tomato / Thakkali, 1, 17,2015-10-14
25,25,Thatta payaru, 1, 15,2015-10-14
26,26,Lady’s Finger / Venda Kai, 1, 10,2015-10-14
27,27,Lemon / Elumbichai, 1, 57,2015-10-14
