,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Lemon/எலுமிச்சை,1, 100 to 140,2018-04-16
1,Tomato/தக்காளி 1st Quality,1, 8 to12,2018-04-16
2,Tomato/தக்காளி 2nd Quality,1, –,2018-04-16
3,Small Onion/சிறிய வெங்காயம்,1, 20 to 28,2018-04-16
4,Bellary/பெல்லாரி,1, 10 to 14,2018-04-16
5,Beans/பீன்ஸ் 1st Quality,1, 27 to 35,2018-04-16
6,Beans/பீன்ஸ் 2nd Quality,1, 23 to 30,2018-04-16
7,Carrot/கேரட் 1st Quality,1, 15 to 22,2018-04-16
8,Carrot/கேரட் 2nd Quality,1, 10 to 17,2018-04-16
9,Lady Finger/வெண்டைக்காய்,1, 10,2018-04-16
10,Tree Drumstick/மரம் முருங்கை,1, 15,2018-04-16
11,Plant Drumstick/செடி முருங்கை,1, 17,2018-04-16
12,Beans/அவரை ஒட்டு,1, 20 to 45,2018-04-16
13,Green Pulses/பச்சை பயிறு,1, 30,2018-04-16
14,White Pulses/வெள்ளை பயிறு,1, 18,2018-04-16
15,Zucchini/சுரைக்காய்,1, 2.50,2018-04-16
16,Beetroot/பீட்ரூட்,1, 3.50,2018-04-16
17,White Pumpkin/வெள்ளை பூசணிக்காய்,1, 2 to 3,2018-04-16
18,Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 3 to 4,2018-04-16
19,Kalla Manga/கள்ள மாங்காய்,1, 18,2018-04-16
20,OOrutu Manga/உருட்டு மாங்காய்,1, 14 to 15,2018-04-16
21,Potato/உருளைக்கிழங்கு 1st Quality,1, 18 to 21,2018-04-16
22,Potato/உருளைக்கிழங்கு 2nd Quality,1, 13 to 16,2018-04-16
23,Coconut/தேங்காய் 1st Quality,1, 35 to 40,2018-04-16
24,Coconut/தேங்காய் 2nd Quality,1, 30 to 35,2018-04-16
25,Green Chilli/பச்சை மிளகாய்,1, 9 to 38,2018-04-16
26,Cauliflower/காலிஃபிளவர் 1st Quality,1, 10 to 15,2018-04-16
27,Cauliflower/காலிஃபிளவர் 2nd Quality,1, –,2018-04-16
28,Green Brinjal/கத்தரிக்காய் பச்சை,1, 15 to 20,2018-04-16
29,Blue Brinjal/கத்தரிக்காய் நீலம்,1, 10,2018-04-16
30,Banana Thar/வாழை தார்,1, 20 to 24,2018-04-16
31,Curry Leaves/கறிவேப்பிலை,1, 15 to 20,2018-04-16
32,Gourd/புடலங்காய் 1st Quality,1, 10 to 16,2018-04-16
33,Gourd/புடலங்காய் 2nd Quality,1, –,2018-04-16
34,Coriander/கொத்தமல்லி 1st Quality,1, 20 to 25,2018-04-16
35,Coriander/கொத்தமல்லி 2nd Quality,1, 15 to 20,2018-04-16
36,Radish/முள்ளங்கி 1st Quality,1, 10 to 15,2018-04-16
37,Radish/முள்ளங்கி 2nd Quality,1, –,2018-04-16
38,Ginger/இஞ்சி,1, 45 to 50,2018-04-16
39,Butter Beans/பட்டர் பீன்ஸ்,1, 80 to 100,2018-04-16
40,Cabbage/முட்டை கோஸ்,1, 4 to 7,2018-04-16
41,Green Peas/பச்சை பட்டாணி,1, 30 to 40,2018-04-16
42,Bitter Gourd/பாகற்காய்,1, 19,2018-04-16
43,Nookal/நூக்கல்,1, 15 to 20,2018-04-16
44,Chaw Chaw/சவ்சவ்,1, 15 to 18,2018-04-16
45,Kovakkai/கோவக்காய்,1, 8 to 9,2018-04-16
46,Cluster Beans/கொத்தவரங்காய்,1, 10 to 15,2018-04-16
47,Gooseberry/நெல்லிக்காய்,1, 40 to 50,2018-04-16
48,Narthangai/நார்த்தங்காய்,1, 70,2018-04-16
49,Cucumber/வெள்ளரிக்காய்,1, 22,2018-04-16
50,Garlic/வெள்ளை பூண்டு,1, 40 to 50,2018-04-16
51,Gourd/பீர்க்கங்காய்,1, 30 to 35,2018-04-16
52,Small Tuber/சிறு கிழங்கு,1, 30 to 45,2018-04-16
53,Colocasia/சேப்பங்கிழங்கு,1, 35,2018-04-16
54,Soya beans/சோயா பீன்ஸ்,1, 80 to 100,2018-04-16
55,Butter Soya/பட்டர் சோயா,1, 80 to 100,2018-04-16
56,Senai Kilangu/சேனை கிழங்கு,1, 30 to 35,2018-04-16
57,Karunai Kilangu/கருணைக்கிழங்கு,1, 20 to 25,2018-04-16
58,Drumstick beans/முருங்கை பீன்ஸ்,1, 30,2018-04-16
59,Mangai Inji/மாங்காய் இஞ்சி,1, 45,2018-04-16
