,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Lemon/எலுமிச்சை,1, 60 to 80,2018-03-08
1,Tomato/தக்காளி 1st Quality,1, 3 to 5,2018-03-08
2,Tomato/தக்காளி 2nd Quality,1, –,2018-03-08
3,Small Onion/சிறிய வெங்காயம்,1, 15 to 22,2018-03-08
4,Bellary/பெல்லாரி,1, 12 to 14,2018-03-08
5,Beans/பீன்ஸ் 1st Quality,1, 20 to 40,2018-03-08
6,Beans/பீன்ஸ் 2nd Quality,1, 15 to 35,2018-03-08
7,Carrot/கேரட் 1st Quality,1, 20 to 28,2018-03-08
8,Carrot/கேரட் 2nd Quality,1, 15 to 23,2018-03-08
9,Lady Finger/வெண்டைக்காய்,1, 25 to 38,2018-03-08
10,Tree Drumstick/மரம் முருங்கை,1, 12,2018-03-08
11,Plant Drumstick/செடி முருங்கை,1, 13,2018-03-08
12,Beans/அவரை ஒட்டு,1, 25 to 40,2018-03-08
13,Green Pulses/பச்சை பயிறு,1, 15 to 25,2018-03-08
14,White Pulses/வெள்ளை பயிறு,1, 20,2018-03-08
15,Zucchini/சுரைக்காய்,1, 3 to 10,2018-03-08
16,Beetroot/பீட்ரூட்,1, 3,2018-03-08
17,White Pumpkin/வெள்ளை பூசணிக்காய்,1, 3 to 4,2018-03-08
18,Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 3 to 4,2018-03-08
19,Kalla Manga/கள்ள மாங்காய்,1, 55,2018-03-08
20,OOrutu Manga/உருட்டு மாங்காய்,1, 40,2018-03-08
21,Potato/உருளைக்கிழங்கு 1st Quality,1, 15 to 25,2018-03-08
22,Potato/உருளைக்கிழங்கு 2nd Quality,1, 10 to 20,2018-03-08
23,Coconut/தேங்காய் 1st Quality,1, 40 to 45,2018-03-08
24,Coconut/தேங்காய் 2nd Quality,1, 35 to 40,2018-03-08
25,Green Chilli/பச்சை மிளகாய்,1, 7 to 18,2018-03-08
26,Cauliflower/காலிஃபிளவர் 1st Quality,1, 10 to 15,2018-03-08
27,Cauliflower/காலிஃபிளவர் 2nd Quality,1, –,2018-03-08
28,Green Brinjal/கத்தரிக்காய் பச்சை,1, 20 to 25,2018-03-08
29,Blue Brinjal/கத்தரிக்காய் நீலம்,1, 15,2018-03-08
30,Banana Thar/வாழை தார்,1, 20 to 25,2018-03-08
31,Curry Leaves/கறிவேப்பிலை,1, 20,2018-03-08
32,Gourd/புடலங்காய் 1st Quality,1, 10,2018-03-08
33,Gourd/புடலங்காய் 2nd Quality,1, –,2018-03-08
34,Coriander/கொத்தமல்லி 1st Quality,1, 10 to 15,2018-03-08
35,Coriander/கொத்தமல்லி 2nd Quality,1, –,2018-03-08
36,Radish/முள்ளங்கி 1st Quality,1, 5 to 10,2018-03-08
37,Radish/முள்ளங்கி 2nd Quality,1, –,2018-03-08
38,Ginger/இஞ்சி,1, 20 to 25,2018-03-08
39,Butter Beans/பட்டர் பீன்ஸ்,1, 60 to 100,2018-03-08
40,Cabbage/முட்டை கோஸ்,1, 5 to 7,2018-03-08
41,Green Peas/பச்சை பட்டாணி,1, 30 to 40,2018-03-08
42,Bitter Gourd/பாகற்காய்,1, 28 to 29,2018-03-08
43,Nookal/நூக்கல்,1, 10 to 15,2018-03-08
44,Chaw Chaw/சவ்சவ்,1, 10,2018-03-08
45,Kovakkai/கோவக்காய்,1, 25,2018-03-08
46,Cluster Beans/கொத்தவரங்காய்,1, 15 to 20,2018-03-08
47,Gooseberry/நெல்லிக்காய்,1, 50 to 60,2018-03-08
48,Narthangai/நார்த்தங்காய்,1, 30,2018-03-08
49,Cucumber/வெள்ளரிக்காய்,1, 15 to 20,2018-03-08
50,Garlic/வெள்ளை பூண்டு,1, 40 to 80,2018-03-08
51,Gourd/பீர்க்கங்காய்,1, 20 to 25,2018-03-08
52,Small Tuber/சிறு கிழங்கு,1, 20,2018-03-08
53,Colocasia/சேப்பங்கிழங்கு,1, 20 to 25,2018-03-08
54,Soya beans/சோயா பீன்ஸ்,1, 80 to 100,2018-03-08
55,Butter Soya/பட்டர் சோயா,1, 80,2018-03-08
56,Senai Kilangu/சேனை கிழங்கு,1, 20 to 25,2018-03-08
57,Karunai Kilangu/கருணைக்கிழங்கு,1, 20 to 25,2018-03-08
58,Drumstick beans/முருங்கை பீன்ஸ்,1, 30,2018-03-08
59,Mangai Inji/மாங்காய் இஞ்சி,1, 30 to 35,2018-03-08
