,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal, 1, 68,2015-1-18
1,Tomotto ottu, 1, 14,2015-1-18
2,Ladys Finger, 1, 26,2015-1-18
3,Snake Guard, 1, 18,2015-1-18
4,Bitter Gourd, 1, 30,2015-1-18
5,Bottle gourd, 1, 10,2015-1-18
6,Pumpkin, 1, 18,2015-1-18
7,Bean, 1, 40,2015-1-18
8,Cluster Beans, 1, 20,2015-1-18
9,Red Chilies, 1, 60,2015-1-18
10,Onion, 1, 34,2015-1-18
11,Pallari, 1, 30,2015-1-18
12,Ginger, 1, –,2015-1-18
13,Potato, 1, 30,2015-1-18
14,Radish, 1, 14,2015-1-18
15,Mango, 1, –,2015-1-18
16,Cabbage, 1, 34,2015-1-18
17,Carrot, 1, 36,2015-1-18
18,Beetroot, 1, 30,2015-1-18
19,Soybeans, 1, 80,2015-1-18
20,Drumstick beans, 1, 60,2015-1-18
21,butter beans, 1, –,2015-1-18
22,Banana nut, 1 piece, 4,2015-1-18
23,Banana stem, 1, 10,2015-1-18
24,Banana Flower, 1, 12,2015-1-18
25,Curry leaves, 1, 15,2015-1-18
26,Coriander leaves, 1, 25,2015-1-18
27,Mint, 1, 20,2015-1-18
28,Greens Leaves, 1, 10,2015-1-18
29,Garlic, 1, 120-150,2015-1-18
30,Button Mushrooms, 1, 196,2015-1-18
31,Papaya, 1, 24,2015-1-18
32,SavSav, 1, 20,2015-1-18
33,Sapotta, 1, 24,2015-1-18
