,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal, 1, 24,2015-5-25
1,Tomotto ottu, 1, 34,2015-5-25
2,Ladys Finger, 1, 22,2015-5-25
3,Snake Guard, 1, 16,2015-5-25
4,Bitter Gourd, 1, 30,2015-5-25
5,Bottle gourd, 1, 8,2015-5-25
6,Pumpkin, 1, 14,2015-5-25
7,Bean, 1, 60,2015-5-25
8,Cluster Beans, 1, 20,2015-5-25
9,Red Chilies, 1, 20,2015-5-25
10,Onion, 1, 34,2015-5-25
11,Pallari, 1, 26,2015-5-25
12,Ginger, 1, –,2015-5-25
13,Potato, 1, 24,2015-5-25
14,Radish, 1, 16,2015-5-25
15,Mango, 1, –,2015-5-25
16,Cabbage, 1, 24,2015-5-25
17,Carrot, 1, 34,2015-5-25
18,Beetroot, 1, 34,2015-5-25
19,Soybeans, 1, 100,2015-5-25
20,Drumstick beans, 1, 50,2015-5-25
21,butter beans, 1, –,2015-5-25
22,Banana nut, 1 piece, 4,2015-5-25
23,Banana stem, 1, 10,2015-5-25
24,Banana Flower, 1, 14,2015-5-25
25,Curry leaves, 1, 20,2015-5-25
26,Coriander leaves, 1, 40,2015-5-25
27,Mint, 1, 15,2015-5-25
28,Greens Leaves, 1, 12,2015-5-25
29,Garlic, 1, 100,2015-5-25
30,Button Mushrooms, 1, 200,2015-5-25
31,Papaya, 1, 20,2015-5-25
32,SavSav, 1, 30,2015-5-25
33,Sapotta, 1, 20,2015-5-25
