,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal, 1, 20,2015-3-15
1,Tomotto ottu, 1, 6,2015-3-15
2,Ladys Finger, 1, 20,2015-3-15
3,Snake Guard, 1, 12,2015-3-15
4,Bitter Gourd, 1, 12,2015-3-15
5,Bottle gourd, 1, 8,2015-3-15
6,Pumpkin, 1, 14,2015-3-15
7,Bean, 1, 24,2015-3-15
8,Cluster Beans, 1, 16,2015-3-15
9,Red Chilies, 1, 18,2015-3-15
10,Onion, 1, 24,2015-3-15
11,Pallari, 1, 24,2015-3-15
12,Ginger, 1, –,2015-3-15
13,Potato, 1, 24,2015-3-15
14,Radish, 1, 8,2015-3-15
15,Mango, 1, –,2015-3-15
16,Cabbage, 1, 18,2015-3-15
17,Carrot, 1, 28,2015-3-15
18,Beetroot, 1, 16,2015-3-15
19,Soybeans, 1, 80,2015-3-15
20,Drumstick beans, 1, 34,2015-3-15
21,butter beans, 1, –,2015-3-15
22,Banana nut, 1 piece, 4,2015-3-15
23,Banana stem, 1, 10,2015-3-15
24,Banana Flower, 1, 12,2015-3-15
25,Curry leaves, 1, 30,2015-3-15
26,Coriander leaves, 1, 20,2015-3-15
27,Mint, 1, 15,2015-3-15
28,Greens Leaves, 1, 12,2015-3-15
29,Garlic, 1, 140-180,2015-3-15
30,Button Mushrooms, 1, 196,2015-3-15
31,Papaya, 1, 20,2015-3-15
32,SavSav, 1, 16,2015-3-15
33,Sapotta, 1, 20,2015-3-15
