,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal, 1, 36,2015-7-30
1,Tomotto ottu, 1, 24,2015-7-30
2,Ladys Finger, 1, 16,2015-7-30
3,Snake Guard, 1, 20,2015-7-30
4,Bitter Gourd, 1, 18,2015-7-30
5,Bottle gourd, 1, 8,2015-7-30
6,Pumpkin, 1, 20,2015-7-30
7,Bean, 1, 36,2015-7-30
8,Cluster Beans, 1, 18,2015-7-30
9,Red Chilies, 1, 40,2015-7-30
10,Onion, 1, 44,2015-7-30
11,Pallari, 1, 30,2015-7-30
12,Ginger, 1, –,2015-7-30
13,Potato, 1, 20,2015-7-30
14,Radish, 1, 20,2015-7-30
15,Mango, 1, –,2015-7-30
16,Cabbage, 1, 20,2015-7-30
17,Carrot, 1, 34,2015-7-30
18,Beetroot, 1, 36,2015-7-30
19,Soybeans, 1, 80,2015-7-30
20,Drumstick beans, 1, 44,2015-7-30
21,butter beans, 1, –,2015-7-30
22,Banana nut, 1 piece, 4,2015-7-30
23,Banana stem, 1, 12,2015-7-30
24,Banana Flower, 1, 12,2015-7-30
25,Curry leaves, 1, 20,2015-7-30
26,Coriander leaves, 1, 20,2015-7-30
27,Mint, 1, 20,2015-7-30
28,Greens Leaves, 1, 12,2015-7-30
29,Garlic, 1, 140,2015-7-30
30,Button Mushrooms, 1, 240,2015-7-30
31,Papaya, 1, 20,2015-7-30
32,SavSav, 1, 20,2015-7-30
33,Sapotta, 1, 16,2015-7-30
