,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal, 1, 16,2015-2-15
1,Tomotto ottu, 1, 8,2015-2-15
2,Ladys Finger, 1, 14,2015-2-15
3,Snake Guard, 1, 10,2015-2-15
4,Bitter Gourd, 1, 14,2015-2-15
5,Bottle gourd, 1, 8,2015-2-15
6,Pumpkin, 1, 12,2015-2-15
7,Bean, 1, 14,2015-2-15
8,Cluster Beans, 1, 16,2015-2-15
9,Red Chilies, 1, 15,2015-2-15
10,Onion, 1, 30,2015-2-15
11,Pallari, 1, 28,2015-2-15
12,Ginger, 1, –,2015-2-15
13,Potato, 1, 24,2015-2-15
14,Radish, 1, 8,2015-2-15
15,Mango, 1, –,2015-2-15
16,Cabbage, 1, 20,2015-2-15
17,Carrot, 1, 34,2015-2-15
18,Beetroot, 1, 20,2015-2-15
19,Soybeans, 1, 60,2015-2-15
20,Drumstick beans, 1, 26,2015-2-15
21,butter beans, 1, –,2015-2-15
22,Banana nut, 1 piece, 4,2015-2-15
23,Banana stem, 1, 8,2015-2-15
24,Banana Flower, 1, 5,2015-2-15
25,Curry leaves, 1, 30,2015-2-15
26,Coriander leaves, 1, 20,2015-2-15
27,Mint, 1, 20,2015-2-15
28,Greens Leaves, 1, 10,2015-2-15
29,Garlic, 1, 100-160,2015-2-15
30,Button Mushrooms, 1, 180,2015-2-15
31,Papaya, 1, 20,2015-2-15
32,SavSav, 1, 16,2015-2-15
33,Sapotta, 1, 24,2015-2-15
