Commodity, Weight in Kg, Price in Rs,Date
Lemon/எலுமிச்சை,1, 20 to 30,2017_12_22
Tomato/தக்காளி 1st Quality,1, 5 to 6,2017_12_22
Tomato/தக்காளி 2nd Quality,1, –,2017_12_22
Small Onion/சிறிய வெங்காயம்,1, 80 to 90,2017_12_22
Bellary/பெல்லாரி,1, 40 to 45,2017_12_22
Beans/பீன்ஸ் 1st Quality,1, 20 to 30,2017_12_22
Beans/பீன்ஸ் 2nd Quality,1, 15 to 25,2017_12_22
Carrot/கேரட் 1st Quality,1, 40 to 55,2017_12_22
Carrot/கேரட் 2nd Quality,1, 35 to 50,2017_12_22
Lady Finger/வெண்டைக்காய்,1, 12,2017_12_22
Tree Drumstick/மரம் முருங்கை,1, –,2017_12_22
Plant Drumstick/முருங்கை,1, –,2017_12_22
Beans/அவரை ஒட்டு,1, 15 to 25,2017_12_22
Green Pulses/பச்சை பயிறு,1, 14,2017_12_22
White Pulses/வெள்ளை பயிறு,1, 20,2017_12_22
Zucchini/சுரைக்காய்,1, 5,2017_12_22
Beetroot/பீட்ரூட்,1, 13,2017_12_22
White Pumpkin/வெள்ளை பூசணிக்காய்,1, 2,2017_12_22
Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 3,2017_12_22
Kalla Manga/கள்ள மாங்காய்,1, 75 to80,2017_12_22
OOrutu Manga/உருட்டு மாங்காய்,1, 70,2017_12_22
Potato/உருளைக்கிழங்கு 1st Quality,1, 12 to 18,2017_12_22
Potato/உருளைக்கிழங்கு 2nd Quality,1, 10,2017_12_22
Coconut/தேங்காய் 1st Quality,1, 40 to 45,2017_12_22
Coconut/தேங்காய் 2nd Quality,1, 35 to 40,2017_12_22
Green Chilli/பச்சை மிளகாய்,1, 7 to 12,2017_12_22
Cauliflower/காலிஃபிளவர் 1st Quality,1, 20,2017_12_22
Cauliflower/காலிஃபிளவர் 2nd Quality,1, 15,2017_12_22
Green Brinjal/கத்தரிக்காய் பச்சை,1, 15 to 20,2017_12_22
Blue Brinjal/கத்தரிக்காய் நீலம்,1, 10,2017_12_22
Banana Thar/வாழை தார்,1, 20 to 24,2017_12_22
Curry Leaves/கறிவேப்பிலை,1, 15 to 20,2017_12_22
Gourd/புடலங்காய் 1st Quality,1, 7,2017_12_22
Gourd/புடலங்காய் 2nd Quality,1, –,2017_12_22
Coriander/கொத்தமல்லி 1st Quality,1, 6 to 10,2017_12_22
Coriander/கொத்தமல்லி 2nd Quality,1, –,2017_12_22
Radish/முள்ளங்கி 1st Quality,1, 10 to 15,2017_12_22
Radish/முள்ளங்கி 2nd Quality,1, –,2017_12_22
Ginger/இஞ்சி,1, 20 to 25,2017_12_22
Butter Beans/பட்டர் பீன்ஸ்,1, 80,2017_12_22
Cabbage/முட்டை கோஸ்,1, 10 to 15,2017_12_22
Green Peas/பச்சை பட்டாணி,1, 80,2017_12_22
Bitter Gourd/பாகற்காய்,1, 16 to 18,2017_12_22
Nookal/நூக்கல்,1, 10 to 15,2017_12_22
Chaw Chaw/சவ்சவ்,1, 5 to 7,2017_12_22
Kovakkai/கோவக்காய்,1, 35,2017_12_22
Cluster Beans/கொத்தவரங்காய்,1, 20 to 23,2017_12_22
Gooseberry/நெல்லிக்காய்,1, 35 to 40,2017_12_22
Narthangai/நார்த்தங்காய்,1, 15 to 20,2017_12_22
Cucumber/வெள்ளரிக்காய்,1, 17,2017_12_22
Garlic/வெள்ளை பூண்டு,1, 100 to 120,2017_12_22
Gourd/பீர்க்கங்காய்,1, 15 to 18,2017_12_22
Small Tuber/சிறு கிழங்கு,1, 40,2017_12_22
Colocasia/சேப்பங்கிழங்கு,1, 35,2017_12_22
Soya beans/சோயா பீன்ஸ்,1, 80,2017_12_22
Butter Soya/பட்டர் சோயா,1, 80,2017_12_22
Senai Kilangu/சேனை கிழங்கு,1, 25 to 30,2017_12_22
Karunai Kilangu/கருணைக்கிழங்கு,1, 35,2017_12_22
Drumstick beans/முருங்கை பீன்ஸ்,1, 20,2017_12_22
Mangai Inji/மாங்காய் இஞ்சி,1, 30,2017_12_22
