,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Brinjal, 1, 76,2014-11-12
1,1,Tomotto ottu, 1, 12,2014-11-12
2,2,Ladys Finger, 1, 24,2014-11-12
3,3,Snake Guard, 1, 34,2014-11-12
4,4,Bitter Gourd, 1, 36,2014-11-12
5,5,Bottle gourd, 1, 12,2014-11-12
6,6,Pumpkin, 1, 24,2014-11-12
7,7,Bean, 1, 74,2014-11-12
8,8,Cluster Beans, 1, 24,2014-11-12
9,9,Red Chilies, 1, 34,2014-11-12
10,10,Onion, 1, 30,2014-11-12
11,11,Pallari, 1, 28,2014-11-12
12,12,Ginger, 1, –,2014-11-12
13,13,Potato, 1, 40,2014-11-12
14,14,Radish, 1, 24,2014-11-12
15,15,Mango, 1, –,2014-11-12
16,16,Cabbage, 1, 24,2014-11-12
17,17,Carrot, 1, 44,2014-11-12
18,18,Beetroot, 1, 31,2014-11-12
19,19,Soybeans, 1, 70,2014-11-12
20,20,Drumstick beans, 1, 60,2014-11-12
21,21,butter beans, 1, –,2014-11-12
22,22,Banana nut, 1 piece, 4,2014-11-12
23,23,Banana stem, 1, 8,2014-11-12
24,24,Banana Flower, 1, 18,2014-11-12
25,25,Curry leaves, 1, 20,2014-11-12
26,26,Coriander leaves, 1, 100,2014-11-12
27,27,Mint, 1, 60,2014-11-12
28,28,Greens Leaves, 1, 12,2014-11-12
29,29,Garlic, 1, 120-140,2014-11-12
30,30,Button Mushrooms, 1, 190,2014-11-12
31,31,Papaya, 1, 24,2014-11-12
32,32,SavSav, 1, 36,2014-11-12
