,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Brinjal, 1, 30,2014-12-13
1,1,Tomotto ottu, 1, 18,2014-12-13
2,2,Ladys Finger, 1, 16,2014-12-13
3,3,Snake Guard, 1, 28,2014-12-13
4,4,Bitter Gourd, 1, 28,2014-12-13
5,5,Bottle gourd, 1, 10,2014-12-13
6,6,Pumpkin, 1, 20,2014-12-13
7,7,Bean, 1, 40,2014-12-13
8,8,Cluster Beans, 1, 20,2014-12-13
9,9,Red Chilies, 1, 40,2014-12-13
10,10,Onion, 1, 40,2014-12-13
11,11,Pallari, 1, 28,2014-12-13
12,12,Ginger, 1, –,2014-12-13
13,13,Potato, 1, 38,2014-12-13
14,14,Radish, 1, 30,2014-12-13
15,15,Mango, 1, –,2014-12-13
16,16,Cabbage, 1, 26,2014-12-13
17,17,Carrot, 1, 36,2014-12-13
18,18,Beetroot, 1, 30,2014-12-13
19,19,Soybeans, 1, 90,2014-12-13
20,20,Drumstick beans, 1, 40,2014-12-13
21,21,butter beans, 1, –,2014-12-13
22,22,Banana nut, 1 piece, 5,2014-12-13
23,23,Banana stem, 1, 12,2014-12-13
24,24,Banana Flower, 1, 12,2014-12-13
25,25,Curry leaves, 1, 25,2014-12-13
26,26,Coriander leaves, 1, 25,2014-12-13
27,27,Mint, 1, 25,2014-12-13
28,28,Greens Leaves, 1, 10,2014-12-13
29,29,Garlic, 1, 80-190,2014-12-13
30,30,Button Mushrooms, 1, 196,2014-12-13
31,31,Papaya, 1, 20,2014-12-13
32,32,SavSav, 1, 28,2014-12-13
