,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal, 1, 34,2014-8-7
1,Tomotto ottu, 1, 40,2014-8-7
2,Ladys Finger, 1, 34,2014-8-7
3,Snake Guard, 1, 24,2014-8-7
4,Bitter Gourd, 1, 40,2014-8-7
5,Bottle gourd, 1, 16,2014-8-7
6,Pumpkin, 1, 20,2014-8-7
7,Bean, 1, 40,2014-8-7
8,Cluster Beans, 1, 20,2014-8-7
9,Red Chilies, 1, 50,2014-8-7
10,Onion, 1, 38,2014-8-7
11,Pallari, 1, 36,2014-8-7
12,Ginger, 1, 140,2014-8-7
13,Potato, 1, 34,2014-8-7
14,Radish, 1, 24,2014-8-7
15,Mango, 1, 30,2014-8-7
16,Cabbage, 1, 24,2014-8-7
17,Carrot, 1, 54,2014-8-7
18,Beetroot, 1, 50,2014-8-7
19,Soybeans, 1, 70,2014-8-7
20,Drumstick beans, 1, 60,2014-8-7
21,butter beans, 1, –,2014-8-7
22,Banana nut, 1 piece, 4,2014-8-7
23,Banana stem, 1, 8,2014-8-7
24,Banana Flower, 1, 6,2014-8-7
25,Curry leaves, 1, 20,2014-8-7
26,Coriander leaves, 1, 20,2014-8-7
27,Mint, 1, 30,2014-8-7
28,Greens Leaves, 1, 10,2014-8-7
29,Garlic, 1, 100-130,2014-8-7
30,Button Mushrooms, 1, 180,2014-8-7
31,Papaya, 1, 26,2014-8-7
32,SavSav, 1, 26,2014-8-7
