,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Brinjal, 1, 14,2014-9-22
1,1,Tomotto ottu, 1, 12,2014-9-22
2,2,Ladys Finger, 1, 12,2014-9-22
3,3,Snake Guard, 1, 18,2014-9-22
4,4,Bitter Gourd, 1, 30,2014-9-22
5,5,Bottle gourd, 1, 8,2014-9-22
6,6,Pumpkin, 1, 16,2014-9-22
7,7,Bean, 1, 30,2014-9-22
8,8,Cluster Beans, 1, 16,2014-9-22
9,9,Red Chilies, 1, 28,2014-9-22
10,10,Onion, 1, 28,2014-9-22
11,11,Pallari, 1, 24,2014-9-22
12,12,Ginger, 1, 130,2014-9-22
13,13,Potato, 1, 40,2014-9-22
14,14,Radish, 1, 12,2014-9-22
15,15,Mango, 1, –,2014-9-22
16,16,Cabbage, 1, 18,2014-9-22
17,17,Carrot, 1, 50,2014-9-22
18,18,Beetroot, 1, 20,2014-9-22
19,19,Soybeans, 1, 80,2014-9-22
20,20,Drumstick beans, 1, 40,2014-9-22
21,21,butter beans, 1, –,2014-9-22
22,22,Banana nut, 1 piece, 4,2014-9-22
23,23,Banana stem, 1, 8,2014-9-22
24,24,Banana Flower, 1, 6,2014-9-22
25,25,Curry leaves, 1, 15,2014-9-22
26,26,Coriander leaves, 1, 25,2014-9-22
27,27,Mint, 1, 30,2014-9-22
28,28,Greens Leaves, 1, 10,2014-9-22
29,29,Garlic, 1, 120-140,2014-9-22
30,30,Button Mushrooms, 1, 200,2014-9-22
31,31,Papaya, 1, 20,2014-9-22
32,32,SavSav, 1, 18,2014-9-22
