,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal, 1, 66,2014-11-8
1,Tomotto ottu, 1, 15,2014-11-8
2,Ladys Finger, 1, 34,2014-11-8
3,Snake Guard, 1, 24,2014-11-8
4,Bitter Gourd, 1, 36,2014-11-8
5,Bottle gourd, 1, 10,2014-11-8
6,Pumpkin, 1, 20,2014-11-8
7,Bean, 1, 66,2014-11-8
8,Cluster Beans, 1, 20,2014-11-8
9,Red Chilies, 1, 32,2014-11-8
10,Onion, 1, 34,2014-11-8
11,Pallari, 1, 28,2014-11-8
12,Ginger, 1, –,2014-11-8
13,Potato, 1, 40,2014-11-8
14,Radish, 1, 20,2014-11-8
15,Mango, 1, –,2014-11-8
16,Cabbage, 1, 20,2014-11-8
17,Carrot, 1, 36,2014-11-8
18,Beetroot, 1, 20,2014-11-8
19,Soybeans, 1, 80,2014-11-8
20,Drumstick beans, 1, 48,2014-11-8
21,butter beans, 1, –,2014-11-8
22,Banana nut, 1 piece, 5,2014-11-8
23,Banana stem, 1, 10,2014-11-8
24,Banana Flower, 1, 10,2014-11-8
25,Curry leaves, 1, 20,2014-11-8
26,Coriander leaves, 1, 55,2014-11-8
27,Mint, 1, 30,2014-11-8
28,Greens Leaves, 1, 12,2014-11-8
29,Garlic, 1, 120-170,2014-11-8
30,Button Mushrooms, 1, 180,2014-11-8
31,Papaya, 1, 20,2014-11-8
32,SavSav, 1, 20,2014-11-8
