,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Brinjal, 1, 30,2014-8-15
1,1,Tomotto ottu, 1, 44,2014-8-15
2,2,Ladys Finger, 1, 26,2014-8-15
3,3,Snake Guard, 1, 20,2014-8-15
4,4,Bitter Gourd, 1, 40,2014-8-15
5,5,Bottle gourd, 1, 14,2014-8-15
6,6,Pumpkin, 1, 20,2014-8-15
7,7,Bean, 1, 36,2014-8-15
8,8,Cluster Beans, 1, 20,2014-8-15
9,9,Red Chilies, 1, 36,2014-8-15
10,10,Onion, 1, 30,2014-8-15
11,11,Pallari, 1, 30,2014-8-15
12,12,Ginger, 1, 140,2014-8-15
13,13,Potato, 1, 40,2014-8-15
14,14,Radish, 1, 14,2014-8-15
15,15,Mango, 1, –,2014-8-15
16,16,Cabbage, 1, 20,2014-8-15
17,17,Carrot, 1, 40,2014-8-15
18,18,Beetroot, 1, 46,2014-8-15
19,19,Soybeans, 1, 60,2014-8-15
20,20,Drumstick beans, 1, 60,2014-8-15
21,21,butter beans, 1, –,2014-8-15
22,22,Banana nut, 1 piece, 4,2014-8-15
23,23,Banana stem, 1, 10,2014-8-15
24,24,Banana Flower, 1, 6,2014-8-15
25,25,Curry leaves, 1, 20,2014-8-15
26,26,Coriander leaves, 1, 25,2014-8-15
27,27,Mint, 1, 20,2014-8-15
28,28,Greens Leaves, 1, 10,2014-8-15
29,29,Garlic, 1, 60-140,2014-8-15
30,30,Button Mushrooms, 1, 180,2014-8-15
31,31,Papaya, 1, 20,2014-8-15
32,32,SavSav, 1, 30,2014-8-15
