,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Brinjal, 1, 44,2014-10-18
1,1,Tomotto ottu, 1, 10,2014-10-18
2,2,Ladys Finger, 1, 16,2014-10-18
3,3,Snake Guard, 1, 14,2014-10-18
4,4,Bitter Gourd, 1, 26,2014-10-18
5,5,Bottle gourd, 1, 8,2014-10-18
6,6,Pumpkin, 1, 16,2014-10-18
7,7,Bean, 1, 50,2014-10-18
8,8,Cluster Beans, 1, 16,2014-10-18
9,9,Red Chilies, 1, 40,2014-10-18
10,10,Onion, 1, 24,2014-10-18
11,11,Pallari, 1, 22,2014-10-18
12,12,Ginger, 1, –,2014-10-18
13,13,Potato, 1, 40,2014-10-18
14,14,Radish, 1, 20,2014-10-18
15,15,Mango, 1, –,2014-10-18
16,16,Cabbage, 1, 14,2014-10-18
17,17,Carrot, 1, 34,2014-10-18
18,18,Beetroot, 1, 24,2014-10-18
19,19,Soybeans, 1, 60,2014-10-18
20,20,Drumstick beans, 1, 40,2014-10-18
21,21,butter beans, 1, –,2014-10-18
22,22,Banana nut, 1 piece, 4,2014-10-18
23,23,Banana stem, 1, 8,2014-10-18
24,24,Banana Flower, 1, 6,2014-10-18
25,25,Curry leaves, 1, 20,2014-10-18
26,26,Coriander leaves, 1, 40,2014-10-18
27,27,Mint, 1, 30,2014-10-18
28,28,Greens Leaves, 1, 10,2014-10-18
29,29,Garlic, 1, 100-160,2014-10-18
30,30,Button Mushrooms, 1, 180,2014-10-18
31,31,Papaya, 1, 20,2014-10-18
32,32,SavSav, 1, 24,2014-10-18
