,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal, 1, 34,2014-8-9
1,Tomotto ottu, 1, 40,2014-8-9
2,Ladys Finger, 1, 26,2014-8-9
3,Snake Guard, 1, 24,2014-8-9
4,Bitter Gourd, 1, 40,2014-8-9
5,Bottle gourd, 1, 14,2014-8-9
6,Pumpkin, 1, 20,2014-8-9
7,Bean, 1, 36,2014-8-9
8,Cluster Beans, 1, 20,2014-8-9
9,Red Chilies, 1, 46,2014-8-9
10,Onion, 1, 36,2014-8-9
11,Pallari, 1, 36,2014-8-9
12,Ginger, 1, 130,2014-8-9
13,Potato, 1, 38,2014-8-9
14,Radish, 1, 20,2014-8-9
15,Mango, 1, 26,2014-8-9
16,Cabbage, 1, 24,2014-8-9
17,Carrot, 1, 48,2014-8-9
18,Beetroot, 1, 40,2014-8-9
19,Soybeans, 1, 70,2014-8-9
20,Drumstick beans, 1, 54,2014-8-9
21,butter beans, 1, –,2014-8-9
22,Banana nut, 1 piece, 4,2014-8-9
23,Banana stem, 1, 10,2014-8-9
24,Banana Flower, 1, 12,2014-8-9
25,Curry leaves, 1, 20,2014-8-9
26,Coriander leaves, 1, 25,2014-8-9
27,Mint, 1, 25,2014-8-9
28,Greens Leaves, 1, 12,2014-8-9
29,Garlic, 1, 100-130,2014-8-9
30,Button Mushrooms, 1, 196,2014-8-9
31,Papaya, 1, 24,2014-8-9
32,SavSav, 1, 26,2014-8-9
