,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Brinjal, 1, 32,2014-7-26
1,1,Tomotto ottu, 1, 42,2014-7-26
2,2,Ladys Finger, 1, 28,2014-7-26
3,3,Snake Guard, 1, 20,2014-7-26
4,4,Bitter Gourd, 1, 46,2014-7-26
5,5,Bottle gourd, 1, 16,2014-7-26
6,6,Pumpkin, 1, 24,2014-7-26
7,7,Bean, 1, 60,2014-7-26
8,8,Cluster Beans, 1, 20,2014-7-26
9,9,Red Chilies, 1, 65,2014-7-26
10,10,Onion, 1, 30,2014-7-26
11,11,Pallari, 1, 36,2014-7-26
12,12,Ginger, 1, 140,2014-7-26
13,13,Potato, 1, 32,2014-7-26
14,14,Radish, 1, 24,2014-7-26
15,15,Mango, 1, 20,2014-7-26
16,16,Cabbage, 1, 24,2014-7-26
17,17,Carrot, 1, 56,2014-7-26
18,18,Beetroot, 1, 50,2014-7-26
19,19,Soybeans, 1, 94,2014-7-26
20,20,Drumstick beans, 1, 60,2014-7-26
21,21,butter beans, 1, –,2014-7-26
22,22,Banana nut, 1 piece, 4,2014-7-26
23,23,Banana stem, 1, 8,2014-7-26
24,24,Banana Flower, 1, 6,2014-7-26
25,25,Curry leaves, 1, 20,2014-7-26
26,26,Coriander leaves, 1, 25,2014-7-26
27,27,Mint, 1, 20,2014-7-26
28,28,Greens Leaves, 1, 10,2014-7-26
29,29,Garlic, 1, 70-180,2014-7-26
30,30,Button Mushrooms, 1, 180,2014-7-26
31,31,Papaya, 1, 20,2014-7-26
32,32,SavSav, 1, 34,2014-7-26
