,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Brinjal/கத்தரிக்காய், 1, 50,2014-2-10
1,1,Tomotto ottu/தக்காளி ஒட்டு, 1, 10,2014-2-10
2,2,LadyFinger/வெண்டைக்காய், 1, 40,2014-2-10
3,3,SnakeGuard/புடலங்காய், 1, 24,2014-2-10
4,4,BitterGourd/பாகற்காய், 1, 32,2014-2-10
5,5,Bottlegourd/சுரைக்காய், 1, 14,2014-2-10
6,6,Pumpkin/பூசணிக்காய், 1, 16,2014-2-10
7,7,Bean/அவரை, 1, 40,2014-2-10
8,8,ClusterBeans/கொத்தவரை, 1, 18,2014-2-10
9,9,Red Chillies/குண்டு மிளகாய், 1, 28,2014-2-10
10,10,Onion/வெங்காயம், 1, 22,2014-2-10
11,11,Pallari/பல்லாரி, 1, 18,2014-2-10
12,12,Ginger/இஞ்சி, 1, 100,2014-2-10
13,13,Potato/உருளைக்கிழங்கு, 1, 28,2014-2-10
14,14,Radish/முள்ளங்கி, 1, 18,2014-2-10
15,15,Mango/மாங்காய், 1, 36,2014-2-10
16,16,Cabbage/முட்டைக்கோஸ், 1, 16,2014-2-10
17,17,Carrot/கேரட், 1, 22,2014-2-10
18,18,Beetroot/பீட்ரூட், 1, 20,2014-2-10
19,19,Soybeans/சோயாபீன்ஸ், 1, 68,2014-2-10
20,20,Drumstickbeans/முருங்கைபீன்ஸ், 1, 38,2014-2-10
21,21,butterbeans/பட்டர்பீன்ஸ், 1, 70,2014-2-10
22,22,Banana nut/வாழைக்காய், 1 piece, 04,2014-2-10
23,23,Banana stem/வாழைத்தண்டு, 1, 07,2014-2-10
24,24,BananaFlower/வாழைப்பூ, 1, 07,2014-2-10
25,25,Curry leaves/கருவேப்பிலை, 1, 30,2014-2-10
26,26,Coriander leaves/மல்லி இலை, 1, 35,2014-2-10
27,27,Mint/புதினா, 1, 30,2014-2-10
28,28,GreensLeaves/கீரைக்கட்டு, 1, 10,2014-2-10
29,29,Garlic/பூண்டு, 1, 100-140,2014-2-10
30,30,ButtonMushrooms/ பட்டன்காளான், 1, 188,2014-2-10
31,31,Papaya/ பப்பாளிப்பழம், 1, 26,2014-2-10
32,32,SavSav/ சவ்சவ், 1, 20,2014-2-10
