,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Brinjal, 1, 44,2014-11-26
1,1,Tomotto ottu, 1, 14,2014-11-26
2,2,Ladys Finger, 1, 26,2014-11-26
3,3,Snake Guard, 1, 24,2014-11-26
4,4,Bitter Gourd, 1, 28,2014-11-26
5,5,Bottle gourd, 1, 12,2014-11-26
6,6,Pumpkin, 1, 18,2014-11-26
7,7,Bean, 1, 40,2014-11-26
8,8,Cluster Beans, 1, 20,2014-11-26
9,9,Red Chilies, 1, 38,2014-11-26
10,10,Onion, 1, 32,2014-11-26
11,11,Pallari, 1, 24,2014-11-26
12,12,Ginger, 1, –,2014-11-26
13,13,Potato, 1, 38,2014-11-26
14,14,Radish, 1, 30,2014-11-26
15,15,Mango, 1, –,2014-11-26
16,16,Cabbage, 1, 24,2014-11-26
17,17,Carrot, 1, 36,2014-11-26
18,18,Beetroot, 1, 40,2014-11-26
19,19,Soybeans, 1, 60,2014-11-26
20,20,Drumstick beans, 1, 38,2014-11-26
21,21,butter beans, 1, –,2014-11-26
22,22,Banana nut, 1 piece, 4,2014-11-26
23,23,Banana stem, 1, 7,2014-11-26
24,24,Banana Flower, 1, 12,2014-11-26
25,25,Curry leaves, 1, 15,2014-11-26
26,26,Coriander leaves, 1, 30,2014-11-26
27,27,Mint, 1, 30,2014-11-26
28,28,Greens Leaves, 1, 10,2014-11-26
29,29,Garlic, 1, 120-140,2014-11-26
30,30,Button Mushrooms, 1, 194,2014-11-26
31,31,Papaya, 1, 20,2014-11-26
32,32,SavSav, 1, 30,2014-11-26
