,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Brinjal/கத்தரிக்காய், 1, 30,2014-2-26
1,1,Tomotto ottu/தக்காளி ஒட்டு, 1, 05,2014-2-26
2,2,LadyFinger/வெண்டைக்காய், 1, 26,2014-2-26
3,3,SnakeGuard/புடலங்காய், 1, 18,2014-2-26
4,4,BitterGourd/பாகற்காய், 1, 28,2014-2-26
5,5,Bottlegourd/சுரைக்காய், 1, 10,2014-2-26
6,6,Pumpkin/பூசணிக்காய், 1, 12,2014-2-26
7,7,Bean/அவரை, 1, 24,2014-2-26
8,8,ClusterBeans/கொத்தவரை, 1, 16,2014-2-26
9,9,Red Chillies/குண்டு மிளகாய், 1, 24,2014-2-26
10,10,Onion/வெங்காயம், 1, 20,2014-2-26
11,11,Pallari/பல்லாரி, 1, 14,2014-2-26
12,12,Ginger/இஞ்சி, 1, 90,2014-2-26
13,13,Potato/உருளைக்கிழங்கு, 1, 24,2014-2-26
14,14,Radish/முள்ளங்கி, 1, 16,2014-2-26
15,15,Mango/மாங்காய், 1, 48,2014-2-26
16,16,Cabbage/முட்டைக்கோஸ், 1, 16,2014-2-26
17,17,Carrot/கேரட், 1, 18,2014-2-26
18,18,Beetroot/பீட்ரூட், 1, 20,2014-2-26
19,19,Soybeans/சோயாபீன்ஸ், 1, 70,2014-2-26
20,20,Drumstickbeans/முருங்கைபீன்ஸ், 1, 40,2014-2-26
21,21,butterbeans/பட்டர்பீன்ஸ், 1, 70,2014-2-26
22,22,Banana nut/வாழைக்காய், 1 piece, 03,2014-2-26
23,23,Banana stem/வாழைத்தண்டு, 1, 08,2014-2-26
24,24,BananaFlower/வாழைப்பூ, 1, 08,2014-2-26
25,25,Curry leaves/கருவேப்பிலை, 1, 25,2014-2-26
26,26,Coriander leaves/மல்லி இலை, 1, 20,2014-2-26
27,27,Mint/புதினா, 1, 20,2014-2-26
28,28,GreensLeaves/கீரைக்கட்டு, 1, 08,2014-2-26
29,29,Garlic/பூண்டு, 1, 120-140,2014-2-26
30,30,ButtonMushrooms/ பட்டன்காளான், 1, 188,2014-2-26
31,31,Papaya/ பப்பாளிப்பழம், 1, 20,2014-2-26
32,32,SavSav/ சவ்சவ், 1, 16,2014-2-26
