,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,0,0,Brinjal / Kathari, 1, 50,2017-1-26
1,1,1,1,1,1,Tomotto ottu / Thakkali Ottu, 1, 18,2017-1-26
2,2,2,2,2,2,Lady’s Finger / Venda Kai, 1, 30,2017-1-26
3,3,3,3,3,3,Snake Guard / Pudalai, 1, 14,2017-1-26
4,4,4,4,4,4,Bitter Gourd / Pakar kai, 1, 30,2017-1-26
5,5,5,5,5,5,Bottle gourd / Sura kai, 1, 8,2017-1-26
6,6,6,6,6,6,Pumpkin / Pusani kai, 1, 15,2017-1-26
7,7,7,7,7,7,Beans / Avarai Kai, 1, 12,2017-1-26
8,8,8,8,8,8,Cluster Beans / Kothavarai, 1, 22,2017-1-26
9,9,9,9,9,9,Red Chilies / Kundu Milagai, 1, 60,2017-1-26
10,10,10,10,10,10,Small Onion / Chinna Vengayam, 1, 25,2017-1-26
11,11,11,11,11,11,Big Onion / Pallari, 1, 20,2017-1-26
12,12,12,12,12,12,Ginger / Inji, 1, –,2017-1-26
13,13,13,13,13,13,Potato / Urulai Kelangu, 1, 24,2017-1-26
14,14,14,14,14,14,Radish / Mulangi, 1, 20,2017-1-26
15,15,15,15,15,15,Mango / Maa, 1, –,2017-1-26
16,16,16,16,16,16,Cabbage / Mutta Kose, 1, 12,2017-1-26
17,17,17,17,17,17,Carrot, 1, 24,2017-1-26
18,18,18,18,18,18,Beetroot, 1, 24,2017-1-26
19,19,19,19,19,19,Soya Beans, 1, 90,2017-1-26
20,20,20,20,20,20,Drumstick Beans / Murungai Beans, 1, 30,2017-1-26
21,21,21,21,21,21,Butter beans, 1, –,2017-1-26
22,22,22,22,22,22,Banana nut / Vala kai, 1 piece, 4,2017-1-26
23,23,23,23,23,23,Banana stem / Vala Thandu, 1, 10,2017-1-26
24,24,24,24,24,24,Banana Flower / Vala Poo, 1, 10,2017-1-26
25,25,25,25,25,25,Curry leaves / Karu Vepilai, 1, 20,2017-1-26
26,26,26,26,26,26,Coriander leaves / Malli Ilai, 1, –,2017-1-26
27,27,27,27,27,27,Mint / Puthina, 1, 15,2017-1-26
28,28,28,28,28,28,Greens Leaves / Keerai Kattu, 1, 12,2017-1-26
29,29,29,29,29,29,Garlic / Poondu, 1, –,2017-1-26
30,30,30,30,30,30,Button Mushrooms / Button Kaalan, 1, –,2017-1-26
31,31,31,31,31,31,Papaya / Papali, 1, 20,2017-1-26
32,32,32,32,32,32,Sav Sav, 1, 24,2017-1-26
33,33,33,33,33,33,Sapotta, 1, –,2017-1-26
34,34,34,34,34,34,Puli / Tamarind, 1, 80,2017-1-26
