,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai Belt / அவரை (பெல்ட்), 1, 29,2013-9-23
1,Avarai Kolee / அவரை (கோலி), 1, 28,2013-9-23
2,Avarai ottu  / அவரை (ஒட்டு), 1, –,2013-9-23
3,Beans / பீன்ஸ், 1, 30,2013-9-23
4,Beetroot / பீட்ரூட், 1, 13,2013-9-23
5,Bellary / பெல்லாரி, 1, 43,2013-9-23
6,C Flower / காளிபிளவர், 1Flower, 13,2013-9-23
7,C Vengayam / சின்னவெங்காயம், 1, 58,2013-9-23
8,Chaw Chaw / சவ்சவ், 1, 22,2013-9-23
9,Kaththari Disco / கத்தரி(டிஸ்கோ), 1, 21,2013-9-23
10,Kaththari Green / கத்தரி(பச்சை), 1, 22,2013-9-23
11,Kothavarai / கொத்தவரை, 1, 18,2013-9-23
12,Milagai Sambar  / மிளகாய்(சாம்பார்), 1, 55,2013-9-23
13,Milagai urundai / மிளகாய்(உருண்டை), 1, 50,2013-9-23
14,Mullaingi / முள்ளங்கி, 1, 8,2013-9-23
15,Murungai chedi / முருங்கை(செடி), 1, 22,2013-9-23
16,Murungai Maram / முருங்கை(மரம்), 1, 16,2013-9-23
17,Nelli / நெல்லி, 1, 26,2013-9-23
18,Pavarkai / பாகற்காய், 1, 21,2013-9-23
19,Perkangkai / பீர்க்கங்காய், 1, 14,2013-9-23
20,Pudalai / புடலங்காய், 1, 10,2013-9-23
21,Red Pusanikkai / சிகப்பு பூசணிக்காய், 1, 8,2013-9-23
22,Sambar Vellari / சாம்பார் வெள்ளரி, 1, 4,2013-9-23
23,Suraikai / சுரைக்காய், 1, 3,2013-9-23
24,Thakkali / தக்காளி, 1, 9,2013-9-23
25,Thatta payaru / தட்டப்பயிறு, 1, 12,2013-9-23
26,Vendai / வெண்டைக்காய், 1, 18,2013-9-23
