,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai Belt / அவரை (பெல்ட்), 1, 51,2013-5-25
1,Avarai Kolee / அவரை (கோலி), 1, 55,2013-5-25
2,Avarai ottu  / அவரை (ஒட்டு), 1, –,2013-5-25
3,Beans / பீன்ஸ், 1, 62,2013-5-25
4,Beetroot / பீட்ரூட், 1, 50,2013-5-25
5,Bellary / பெல்லாரி, 1, 15,2013-5-25
6,C Flower / காளிபிளவர், 1Flower, 20,2013-5-25
7,C Vengayam / சின்னவெங்காயம், 1, 65,2013-5-25
8,Chaw Chaw / சவ்சவ், 1, 37,2013-5-25
9,Kaththari Disco / கத்தரி(டிஸ்கோ), 1, 13,2013-5-25
10,Kaththari Green / கத்தரி(பச்சை), 1, 10,2013-5-25
11,Kothavarai / கொத்தவரை, 1, 8,2013-5-25
12,Milagai Sambar  / மிளகாய்(சாம்பார்), 1, 30,2013-5-25
13,Milagai urundai / மிளகாய்(உருண்டை), 1, 55,2013-5-25
14,Mullaingi / முள்ளங்கி, 1, 6,2013-5-25
15,Murungai chedi / முருங்கை(செடி), 1, 13,2013-5-25
16,Murungai Maram / முருங்கை(மரம்), 1, 10,2013-5-25
17,Nelli / நெல்லி, 1, 15,2013-5-25
18,Pavarkai / பாகற்காய், 1, 17,2013-5-25
19,Perkangkai / பீர்க்கங்காய், 1, 12,2013-5-25
20,Pudalai / புடலங்காய், 1, 20,2013-5-25
21,Red Pusanikkai / சிகப்பு பூசணிக்காய், 1, 10,2013-5-25
22,Sambar Vellari / சாம்பார் வெள்ளரி, 1, 9,2013-5-25
23,Suraikai / சுரைக்காய், 1, 5,2013-5-25
24,Thakkali / தக்காளி, 1, 40,2013-5-25
25,Thatta payaru / தட்டப்பயிறு, 1, 16,2013-5-25
26,Vendai / வெண்டைக்காய், 1, 11,2013-5-25
