,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai Belt / அவரை (பெல்ட்), 1, 18,2013-12-18
1,Avarai Kolee / அவரை (கோலி), 1, 11,2013-12-18
2,Avarai ottu  / அவரை (ஒட்டு), 1, –,2013-12-18
3,Beans / பீன்ஸ், 1, 10,2013-12-18
4,Beetroot / பீட்ரூட், 1, 10,2013-12-18
5,Bellary / பெல்லாரி, 1, 20,2013-12-18
6,C Flower / காளிபிளவர், 1Flower, 9,2013-12-18
7,C Vengayam / சின்னவெங்காயம், 1, 45,2013-12-18
8,Chaw Chaw / சவ்சவ், 1, 8,2013-12-18
9,Kaththari Disco / கத்தரி(டிஸ்கோ), 1, 10,2013-12-18
10,Kaththari Green / கத்தரி(பச்சை), 1, 15,2013-12-18
11,Kothavarai / கொத்தவரை, 1, 8,2013-12-18
12,Milagai Sambar  / மிளகாய்(சாம்பார்), 1, 16,2013-12-18
13,Milagai urundai / மிளகாய்(உருண்டை), 1, 17,2013-12-18
14,Mullaingi / முள்ளங்கி, 1, 5,2013-12-18
15,Murungai chedi / முருங்கை(செடி), 1, 52,2013-12-18
16,Murungai Maram / முருங்கை(மரம்), 1, 45,2013-12-18
17,Nelli / நெல்லி, 1, 16,2013-12-18
18,Pavarkai / பாகற்காய், 1, 12,2013-12-18
19,Perkangkai / பீர்க்கங்காய், 1, 12,2013-12-18
20,Pudalai / புடலங்காய், 1, 06,2013-12-18
21,Red Pusanikkai / சிகப்பு பூசணிக்காய், 1, 3.50,2013-12-18
22,Sambar Vellari / சாம்பார் வெள்ளரி, 1, 3.50,2013-12-18
23,Suraikai / சுரைக்காய், 1, 5,2013-12-18
24,Thakkali / தக்காளி, 1, 12,2013-12-18
25,Thatta payaru / தட்டப்பயிறு, 1, 08,2013-12-18
26,Vendai / வெண்டைக்காய், 1, 9,2013-12-18
