,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai Belt / அவரை (பெல்ட்), 1, 33,2013-9-15
1,Avarai Kolee / அவரை (கோலி), 1, 32,2013-9-15
2,Avarai ottu  / அவரை (ஒட்டு), 1, –,2013-9-15
3,Beans / பீன்ஸ், 1, 35,2013-9-15
4,Beetroot / பீட்ரூட், 1, 15,2013-9-15
5,Bellary / பெல்லாரி, 1, 43,2013-9-15
6,C Flower / காளிபிளவர், 1Flower, 18,2013-9-15
7,C Vengayam / சின்னவெங்காயம், 1, 58,2013-9-15
8,Chaw Chaw / சவ்சவ், 1, 26,2013-9-15
9,Kaththari Disco / கத்தரி(டிஸ்கோ), 1, 24,2013-9-15
10,Kaththari Green / கத்தரி(பச்சை), 1, 24,2013-9-15
11,Kothavarai / கொத்தவரை, 1, 20,2013-9-15
12,Milagai Sambar  / மிளகாய்(சாம்பார்), 1, 55,2013-9-15
13,Milagai urundai / மிளகாய்(உருண்டை), 1, 50,2013-9-15
14,Mullaingi / முள்ளங்கி, 1, 10,2013-9-15
15,Murungai chedi / முருங்கை(செடி), 1, 26,2013-9-15
16,Murungai Maram / முருங்கை(மரம்), 1, 18,2013-9-15
17,Nelli / நெல்லி, 1, 30,2013-9-15
18,Pavarkai / பாகற்காய், 1, 23,2013-9-15
19,Perkangkai / பீர்க்கங்காய், 1, 16,2013-9-15
20,Pudalai / புடலங்காய், 1, 12,2013-9-15
21,Red Pusanikkai / சிகப்பு பூசணிக்காய், 1, 10,2013-9-15
22,Sambar Vellari / சாம்பார் வெள்ளரி, 1, 7,2013-9-15
23,Suraikai / சுரைக்காய், 1, 6,2013-9-15
24,Thakkali / தக்காளி, 1, 13,2013-9-15
25,Thatta payaru / தட்டப்பயிறு, 1, 15,2013-9-15
26,Vendai / வெண்டைக்காய், 1, 22,2013-9-15
