,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai Belt / அவரை (பெல்ட்), 1, 20,2013-10-24
1,Avarai Kolee / அவரை (கோலி), 1, 20,2013-10-24
2,Avarai ottu  / அவரை (ஒட்டு), 1, –,2013-10-24
3,Beans / பீன்ஸ், 1, 15,2013-10-24
4,Beetroot / பீட்ரூட், 1, 13,2013-10-24
5,Bellary / பெல்லாரி, 1, 40,2013-10-24
6,C Flower / காளிபிளவர், 1Flower, 13,2013-10-24
7,C Vengayam / சின்னவெங்காயம், 1, 70,2013-10-24
8,Chaw Chaw / சவ்சவ், 1, 12,2013-10-24
9,Kaththari Disco / கத்தரி(டிஸ்கோ), 1, 13,2013-10-24
10,Kaththari Green / கத்தரி(பச்சை), 1, 12,2013-10-24
11,Kothavarai / கொத்தவரை, 1, 10,2013-10-24
12,Milagai Sambar  / மிளகாய்(சாம்பார்), 1, 10,2013-10-24
13,Milagai urundai / மிளகாய்(உருண்டை), 1, 15,2013-10-24
14,Mullaingi / முள்ளங்கி, 1, 5,2013-10-24
15,Murungai chedi / முருங்கை(செடி), 1, 50,2013-10-24
16,Murungai Maram / முருங்கை(மரம்), 1, 33,2013-10-24
17,Nelli / நெல்லி, 1, 20,2013-10-24
18,Pavarkai / பாகற்காய், 1, 17,2013-10-24
19,Perkangkai / பீர்க்கங்காய், 1, 12,2013-10-24
20,Pudalai / புடலங்காய், 1, 5,2013-10-24
21,Red Pusanikkai / சிகப்பு பூசணிக்காய், 1, 8,2013-10-24
22,Sambar Vellari / சாம்பார் வெள்ளரி, 1, 5,2013-10-24
23,Suraikai / சுரைக்காய், 1, 2,2013-10-24
24,Thakkali / தக்காளி, 1, 24,2013-10-24
25,Thatta payaru / தட்டப்பயிறு, 1, 6,2013-10-24
26,Vendai / வெண்டைக்காய், 1, 6,2013-10-24
