Commodity, Weight in Kg, Price in Rs,Date
Lemon/எலுமிச்சை,1, 20 to 30,2018_01_08
Tomato/தக்காளி 1st Quality,1, 7 to 8,2018_01_08
Tomato/தக்காளி 2nd Quality,1, –,2018_01_08
Small Onion/சிறிய வெங்காயம்,1, 50 to 60,2018_01_08
Bellary/பெல்லாரி,1, 45 to 48,2018_01_08
Beans/பீன்ஸ் 1st Quality,1, 10 to 18,2018_01_08
Beans/பீன்ஸ் 2nd Quality,1, 10,2018_01_08
Carrot/கேரட் 1st Quality,1, 40 to 50,2018_01_08
Carrot/கேரட் 2nd Quality,1, 35 to 45,2018_01_08
Lady Finger/வெண்டைக்காய்,1, 12,2018_01_08
Tree Drumstick/மரம் முருங்கை,1, –,2018_01_08
Plant Drumstick/முருங்கை,1, 65 to 90,2018_01_08
Beans/அவரை ஒட்டு,1, 6 to 16,2018_01_08
Green Pulses/பச்சை பயிறு,1, 10 to 16,2018_01_08
White Pulses/வெள்ளை பயிறு,1, 10,2018_01_08
Zucchini/சுரைக்காய்,1, 2,2018_01_08
Beetroot/பீட்ரூட்,1, 6,2018_01_08
White Pumpkin/வெள்ளை பூசணிக்காய்,1, 2 to 3,2018_01_08
Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 3 to 4,2018_01_08
Kalla Manga/கள்ள மாங்காய்,1, 120,2018_01_08
OOrutu Manga/உருட்டு மாங்காய்,1, 110,2018_01_08
Potato/உருளைக்கிழங்கு 1st Quality,1, 12 to 15,2018_01_08
Potato/உருளைக்கிழங்கு 2nd Quality,1, 10,2018_01_08
Coconut/தேங்காய் 1st Quality,1, 40 to 48,2018_01_08
Coconut/தேங்காய் 2nd Quality,1, 35 to 43,2018_01_08
Green Chilli/பச்சை மிளகாய்,1, 10 to 12,2018_01_08
Cauliflower/காலிஃபிளவர் 1st Quality,1, 10 to 15,2018_01_08
Cauliflower/காலிஃபிளவர் 2nd Quality,1, 10,2018_01_08
Green Brinjal/கத்தரிக்காய் பச்சை,1, 10 to 15,2018_01_08
Blue Brinjal/கத்தரிக்காய் நீலம்,1, 10,2018_01_08
Banana Thar/வாழை தார்,1, 25 to 30,2018_01_08
Curry Leaves/கறிவேப்பிலை,1, 12 to 20,2018_01_08
Gourd/புடலங்காய் 1st Quality,1, 3,2018_01_08
Gourd/புடலங்காய் 2nd Quality,1, –,2018_01_08
Coriander/கொத்தமல்லி 1st Quality,1, 5 to 8,2018_01_08
Coriander/கொத்தமல்லி 2nd Quality,1, –,2018_01_08
Radish/முள்ளங்கி 1st Quality,1, 10 to 15,2018_01_08
Radish/முள்ளங்கி 2nd Quality,1, –,2018_01_08
Ginger/இஞ்சி,1, 25 to 30,2018_01_08
Butter Beans/பட்டர் பீன்ஸ்,1, 80 to 100,2018_01_08
Cabbage/முட்டை கோஸ்,1, 10 to 15,2018_01_08
Green Peas/பச்சை பட்டாணி,1, 40 to 50,2018_01_08
Bitter Gourd/பாகற்காய்,1, 10 to 20,2018_01_08
Nookal/நூக்கல்,1, 15 to 20,2018_01_08
Chaw Chaw/சவ்சவ்,1, 5 to 8,2018_01_08
Kovakkai/கோவக்காய்,1, 16,2018_01_08
Cluster Beans/கொத்தவரங்காய்,1, 10 to 16,2018_01_08
Gooseberry/நெல்லிக்காய்,1, 30 to 35,2018_01_08
Narthangai/நார்த்தங்காய்,1, 25 to 30,2018_01_08
Cucumber/வெள்ளரிக்காய்,1, 7,2018_01_08
Garlic/வெள்ளை பூண்டு,1, 30 to 60,2018_01_08
Gourd/பீர்க்கங்காய்,1, 10 to 15,2018_01_08
Small Tuber/சிறு கிழங்கு,1, 40,2018_01_08
Colocasia/சேப்பங்கிழங்கு,1, 35,2018_01_08
Soya beans/சோயா பீன்ஸ்,1, 80 to 90,2018_01_08
Butter Soya/பட்டர் சோயா,1, 80 to 90,2018_01_08
Senai Kilangu/சேனை கிழங்கு,1, 30,2018_01_08
Karunai Kilangu/கருணைக்கிழங்கு,1, 35,2018_01_08
Drumstick beans/முருங்கை பீன்ஸ்,1, 10 to 15,2018_01_08
Mangai Inji/மாங்காய் இஞ்சி,1, 30 to 35,2018_01_08
