,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal / Kathari, 1, 40,2016-9-28
1,Tomotto ottu / Thakkali Ottu, 1, 17,2016-9-28
2,Lady’s Finger / Venda Kai, 1, 18,2016-9-28
3,Snake Guard / Pudalai, 1, 20,2016-9-28
4,Bitter Gourd / Pakar kai, 1, 20,2016-9-28
5,Bottle gourd / Sura kai, 1, 8,2016-9-28
6,Pumpkin / Pusani kai, 1, 25,2016-9-28
7,Beans / Avarai Kai, 1, 36,2016-9-28
8,Cluster Beans / Kothavarai, 1, 16,2016-9-28
9,Red Chilies / Kundu Milagai, 1, 24,2016-9-28
10,Small Onion / Chinna Vengayam, 1, 20,2016-9-28
11,Big Onion / Pallari, 1, 18,2016-9-28
12,Ginger / Inji, 1, –,2016-9-28
13,Potato / Urulai Kelangu, 1, 30,2016-9-28
14,Radish / Mulangi, 1, 20,2016-9-28
15,Mango / Maa, 1, –,2016-9-28
16,Cabbage / Mutta Kose, 1, 18,2016-9-28
17,Carrot, 1, 38,2016-9-28
18,Beetroot, 1, 26,2016-9-28
19,Soya Beans, 1, 80,2016-9-28
20,Drumstick Beans / Murungai Beans, 1, 44,2016-9-28
21,Butter beans, 1, –,2016-9-28
22,Banana nut / Vala kai, 1 piece, 4,2016-9-28
23,Banana stem / Vala Thandu, 1, 10,2016-9-28
24,Banana Flower / Vala Poo, 1, 10,2016-9-28
25,Curry leaves / Karu Vepilai, 1, 20,2016-9-28
26,Coriander leaves / Malli Ilai, 1, 20,2016-9-28
27,Mint / Puthina, 1, 20,2016-9-28
28,Greens Leaves / Keerai Kattu, 1, 12,2016-9-28
29,Garlic / Poondu, 1, –,2016-9-28
30,Button Mushrooms / Button Kaalan, 1, –,2016-9-28
31,Papaya / Papali, 1, 25,2016-9-28
32,Sav Sav, 1, 26,2016-9-28
33,Sapotta, 1, –,2016-9-28
34,Puli / Tamarind, 1, 80,2016-9-28
