,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal / Kathari, 1, 34,2016- 6-1
1,Tomotto ottu / Thakkali Ottu, 1, 40,2016- 6-1
2,Lady’s Finger / Venda Kai, 1, 35,2016- 6-1
3,Snake Guard / Pudalai, 1, 34,2016- 6-1
4,Bitter Gourd / Pakar kai, 1, 48,2016- 6-1
5,Bottle gourd / Sura kai, 1, 12,2016- 6-1
6,Pumpkin / Pusani kai, 1, 20,2016- 6-1
7,Beans / Avarai Kai, 1, 80,2016- 6-1
8,Cluster Beans / Kothavarai, 1, 24,2016- 6-1
9,Red Chilies / Kundu Milagai, 1, 70,2016- 6-1
10,Small Onion / Chinna Vengayam, 1, 38,2016- 6-1
11,Big Onion / Pallari, 1, 18,2016- 6-1
12,Ginger / Inji, 1, –,2016- 6-1
13,Potato / Urulai Kelangu, 1, 48,2016- 6-1
14,Radish / Mulangi, 1, 26,2016- 6-1
15,Mango / Maa, 1, –,2016- 6-1
16,Cabbage / Mutta Kose, 1, 34,2016- 6-1
17,Carrot, 1, 40,2016- 6-1
18,Beetroot, 1, 46,2016- 6-1
19,Soya Beans, 1, 110,2016- 6-1
20,Drumstick Beans / Murungai Beans, 1, 65,2016- 6-1
21,Butter beans, 1, –,2016- 6-1
22,Banana nut / Vala kai, 1 piece, 3,2016- 6-1
23,Banana stem / Vala Thandu, 1, 10,2016- 6-1
24,Banana Flower / Vala Poo, 1, 12,2016- 6-1
25,Curry leaves / Karu Vepilai, 1, 30,2016- 6-1
26,Coriander leaves / Malli Ilai, 1, 40,2016- 6-1
27,Mint / Puthina, 1, 35,2016- 6-1
28,Greens Leaves / Keerai Kattu, 1, 12,2016- 6-1
29,Garlic / Poondu, 1, –,2016- 6-1
30,Button Mushrooms / Button Kaalan, 1, 200,2016- 6-1
31,Papaya / Papali, 1, 15,2016- 6-1
32,Sav Sav, 1, 40,2016- 6-1
33,Sapotta, 1, –,2016- 6-1
34,Field bean / Mochai, 1, –,2016- 6-1
