Commodity, Weight in Kg, Price in Rs
Brinjal / Kathari, 1, 24
Tomotto ottu / Thakkali Ottu, 1, 36
Lady’s Finger / Venda Kai, 1, 34
Snake Guard / Pudalai, 1, 36
Bitter Gourd / Pakar kai, 1, 33
Bottle gourd / Sura kai, 1, 10
Pumpkin / Pusani kai, 1, 16
Beans / Avarai Kai, 1, 60
Cluster Beans / Kothavarai, 1, 24
Red Chilies / Kundu Milagai, 1, 60
Small Onion / Chinna Vengayam, 1, 32
Big Onion / Pallari, 1, 15
Ginger / Inji, 1, –
Potato / Urulai Kelangu, 1, 28
Radish / Mulangi, 1, 24
Mango / Maa, 1, –
Cabbage / Mutta Kose, 1, 24
Carrot, 1, 40
Beetroot, 1, 36
Soya Beans, 1, 110
Drumstick Beans / Murungai Beans, 1, 65
Butter beans, 1, –
Banana nut / Vala kai, 1 piece, 3
Banana stem / Vala Thandu, 1, 10
Banana Flower / Vala Poo, 1, 10
Curry leaves / Karu Vepilai, 1, 30
Coriander leaves / Malli Ilai, 1, 50
Mint / Puthina, 1, 35
Greens Leaves / Keerai Kattu, 1, 12
Garlic / Poondu, 1, –
Button Mushrooms / Button Kaalan, 1, 200
Papaya / Papali, 1, 15
Sav Sav, 1, 30
Sapotta, 1, –
Field bean / Mochai, 1, –
