,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal / Kathari, 1, 60,2016-1-11
1,Tomotto ottu / Thakkali Ottu, 1, 48,2016-1-11
2,Lady’s Finger / Venda Kai, 1, 40,2016-1-11
3,Snake Guard / Pudalai, 1, 30,2016-1-11
4,Bitter Gourd / Pakar kai, 1, 40,2016-1-11
5,Bottle gourd / Sura kai, 1, 14,2016-1-11
6,Pumpkin / Pusani kai, 1, 16,2016-1-11
7,Beans / Avarai Kai, 1, 50,2016-1-11
8,Cluster Beans / Kothavarai, 1, 30,2016-1-11
9,Red Chilies / Kundu Milagai, 1, 60,2016-1-11
10,Small Onion / Chinna Vengayam, 1, 30,2016-1-11
11,Big Onion / Pallari, 1, 30,2016-1-11
12,Ginger / Inji, 1, –,2016-1-11
13,Potato / Urulai Kelangu, 1, 24,2016-1-11
14,Radish / Mulangi, 1, 30,2016-1-11
15,Mango / Maa, 1, –,2016-1-11
16,Cabbage / Mutta Kose, 1, 30,2016-1-11
17,Carrot, 1, 60,2016-1-11
18,Beetroot, 1, 60,2016-1-11
19,Soya Beans, 1, 100,2016-1-11
20,Drumstick Beans / Murungai Beans, 1, 60,2016-1-11
21,Butter beans, 1, –,2016-1-11
22,Banana nut / Vala kai, 1 piece, 4,2016-1-11
23,Banana stem / Vala Thandu, 1, 10,2016-1-11
24,Banana Flower / Vala Poo, 1, 8,2016-1-11
25,Curry leaves / Karu Vepilai, 1, 15,2016-1-11
26,Coriander leaves / Malli Ilai, 1, 20,2016-1-11
27,Mint / Puthina, 1, 20,2016-1-11
28,Greens Leaves / Keerai Kattu, 1, 12,2016-1-11
29,Garlic / Poondu, 1, –,2016-1-11
30,Button Mushrooms / Button Kaalan, 1, 180,2016-1-11
31,Papaya / Papali, 1, 20,2016-1-11
32,Sav Sav, 1, 24,2016-1-11
33,Sapotta, 1, 20,2016-1-11
34,Field bean / Mochai, 1, 36,2016-1-11
