,Unnamed: 0,Unnamed: 0.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,Brinjal/கத்தரிக்காய், 1, 44,2014-01-03
1,1,1,Tomotto ottu/தக்காளி ஒட்டு, 1, 12,2014-01-03
2,2,2,LadyFinger/வெண்டைக்காய், 1, 18,2014-01-03
3,3,3,SnakeGuard/புடலங்காய், 1, 16,2014-01-03
4,4,4,BitterGourd/பாகற்காய், 1, 24,2014-01-03
5,5,5,Bottlegourd/சுரைக்காய், 1, 12,2014-01-03
6,6,6,Pumpkin/பூசணிக்காய், 1, 14,2014-01-03
7,7,7,Bean/அவரை, 1, 26,2014-01-03
8,8,8,ClusterBeans/கொத்தவரை, 1, 18,2014-01-03
9,9,9,Red Chillies/குண்டு மிளகாய், 1, 26,2014-01-03
10,10,10,Onion/வெங்காயம், 1, 30,2014-01-03
11,11,11,Pallari/பல்லாரி, 1, 28,2014-01-03
12,12,12,Ginger/இஞ்சி, 1, 110,2014-01-03
13,13,13,Potato/உருளைக்கிழங்கு, 1, 28,2014-01-03
14,14,14,Radish/முள்ளங்கி, 1, 18,2014-01-03
15,15,15,Mango/மாங்காய், 1, 40,2014-01-03
16,16,16,Cabbage/முட்டைக்கோஸ், 1, 14,2014-01-03
17,17,17,Carrot/கேரட், 1, 26,2014-01-03
18,18,18,Beetroot/பீட்ரூட், 1, 22,2014-01-03
19,19,19,Soybeans/சோயாபீன்ஸ், 1, 75,2014-01-03
20,20,20,Drumstickbeans/முருங்கைபீன்ஸ், 1, 38,2014-01-03
21,21,21,butterbeans/பட்டர்பீன்ஸ், 1, 85,2014-01-03
22,22,22,Banana nut/வாழைக்காய், 1 piece, 02,2014-01-03
23,23,23,Banana stem/வாழைத்தண்டு, 1, 8,2014-01-03
24,24,24,BananaFlower/வாழைப்பூ, 1, 6,2014-01-03
25,25,25,Curry leaves/கருவேப்பிலை, 1, 15,2014-01-03
26,26,26,Coriander leaves/மல்லி இலை, 1, 30,2014-01-03
27,27,27,Mint/புதினா, 1, 28,2014-01-03
28,28,28,GreensLeaves/கீரைக்கட்டு, 1, 8,2014-01-03
29,29,29,Garlic/பூண்டு, 1, 70-140,2014-01-03
30,30,30,ButtonMushrooms/ பட்டன்காளான், 1, 185,2014-01-03
31,31,31,Papaya/ பப்பாளிப்பழம், 1, 20,2014-01-03
32,32,32,SavSav/ சவ்சவ், 1, 14,2014-01-03
