,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,0,0,Lemon, 1, 60,2017-5-16
1,1,1,1,1,1,Tomato/Thakkali 1st Quality, 1, 8 to10,2017-5-16
2,2,2,2,2,2,Tomato/Thakkali 2nd Quality, 1, –,2017-5-16
3,3,3,3,3,3,Small Onion, 1, 70 to80,2017-5-16
4,4,4,4,4,4,Bellary (Big Onion), 1, 9 to10,2017-5-16
5,5,5,5,5,5,Beans 1st Quality, –, 60 to70,2017-5-16
6,6,6,6,6,6,Beans 2nd Quality, 1, 55 to65,2017-5-16
7,7,7,7,7,7,Carrot 1st Quality, 1, 65 to70,2017-5-16
8,8,8,8,8,8,Carrot 2nd Quality, 1, 60 to75,2017-5-16
9,9,9,9,9,9,Vendai Kai/Lady Finger, 1, 14 to15,2017-5-16
10,10,10,10,10,10,Maram Murungai, 1, 17 to28,2017-5-16
11,11,11,11,11,11,Chedi Murungai, 1, 24,2017-5-16
12,12,12,12,12,12,Avarai Ottu, 1, 30,2017-5-16
13,13,13,13,13,13,Pachai Payaru, 1, 30,2017-5-16
14,14,14,14,14,14,Vellai Payaru, 1, 20,2017-5-16
15,15,15,15,15,15,Suraikai, 1, 8,2017-5-16
16,16,16,16,16,16,Beetroot, 1, 28,2017-5-16
17,17,17,17,17,17,Sunami Sambar, 1, 16,2017-5-16
18,18,18,18,18,18,Pusanikai, 1, 10,2017-5-16
19,19,19,19,19,19,Kalla Manga/Mango, 1, 9,2017-5-16
20,20,20,20,20,20,Orutu Manga/Mango, 1, 8,2017-5-16
21,21,21,21,21,21,Potato 1st Quality, 1, 18 to20,2017-5-16
22,22,22,22,22,22,Potato 2nd Quality, 1, 13 to15,2017-5-16
23,23,23,23,23,23,Coconut 1st Quality, –, 23 to25,2017-5-16
24,24,24,24,24,24,Coconut 2nd Quality, –, 18 to20,2017-5-16
25,25,25,25,25,25,Green Chilli, 1, 44 to50,2017-5-16
26,26,26,26,26,26,Cauliflower 1st Quality, –, 25 to30,2017-5-16
27,27,27,27,27,27,Cauliflower 2nd Quality, –, 20 to25,2017-5-16
28,28,28,28,28,28,Katharikai Pachai, 1, 40,2017-5-16
29,29,29,29,29,29,Katharikai ootha, 1, 30,2017-5-16
30,30,30,30,30,30,Valai Thar, –, 23 to25,2017-5-16
31,31,31,31,31,31,Karuveppilai/Curry Leaf, 1 Kattu, 20 to25,2017-5-16
32,32,32,32,32,32,Pudalangai/Snake gourd 1st Quality, 1, 35 to 40,2017-5-16
33,33,33,33,33,33,Pudalangai/Snake gourd 2nd Quality, 1, 30 to35,2017-5-16
34,34,34,34,34,34,Kothamalli 1st Quality, 1 kattu, 70 to80,2017-5-16
35,35,35,35,35,35,Kothamalli 2nd Quality, 1 kattu, 65 to75,2017-5-16
36,36,36,36,36,36,Mullangi 1st Quality, 1, 30 to35,2017-5-16
37,37,37,37,37,37,Mullangi 2nd Quality, 1, 25 to30,2017-5-16
38,38,38,38,38,38,Inji/Ginger, 1, 25 to30,2017-5-16
39,39,39,39,39,39,Butter Beans, 1, 180 to200,2017-5-16
40,40,40,40,40,40,Mutta Kose, 1, 20,2017-5-16
41,41,41,41,41,41,Pachai Pattani, 1, 180 to200,2017-5-16
42,42,42,42,42,42,Pakarkai, 1, 45,2017-5-16
43,43,43,43,43,43,Nookal, 1, 30,2017-5-16
44,44,44,44,44,44,Chaw Chaw, 1, 25 to30,2017-5-16
45,45,45,45,45,45,Kovakkai, 1, 20,2017-5-16
46,46,46,46,46,46,Kothavarangai, 1, 20,2017-5-16
47,47,47,47,47,47,Nellikai, 1, 40,2017-5-16
48,48,48,48,48,48,Narthangai, 1, 70,2017-5-16
49,49,49,49,49,49,Vellarikai, 1, 18,2017-5-16
