,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,0,0,Lemon, 1, 40 to 50,2017-7-29
1,1,1,1,1,1,Tomato/Thakkali 1st Quality, 1, 50 to 60,2017-7-29
2,2,2,2,2,2,Tomato/Thakkali 2nd Quality, 1, 45 to 55,2017-7-29
3,3,3,3,3,3,Small Onion, 1, 70 to 80,2017-7-29
4,4,4,4,4,4,Bellary (Big Onion), 1, 14 to 13,2017-7-29
5,5,5,5,5,5,Beans 1st Quality, –, 60 to 70,2017-7-29
6,6,6,6,6,6,Beans 2nd Quality, 1, 55 to 65,2017-7-29
7,7,7,7,7,7,Carrot 1st Quality, 1, 60 to 65,2017-7-29
8,8,8,8,8,8,Carrot 2nd Quality, 1, 55 to 60,2017-7-29
9,9,9,9,9,9,Vendai Kai/Lady Finger, 1, 40,2017-7-29
10,10,10,10,10,10,Maram Murungai, 1, 26,2017-7-29
11,11,11,11,11,11,Chedi Murungai, 1, 27,2017-7-29
12,12,12,12,12,12,Avarai Ottu, 1, 65 to 70,2017-7-29
13,13,13,13,13,13,Pachai Payaru, 1, 20,2017-7-29
14,14,14,14,14,14,Vellai Payaru, 1, 25,2017-7-29
15,15,15,15,15,15,Suraikai, 1, 10,2017-7-29
16,16,16,16,16,16,Beetroot, 1, 20 to 25,2017-7-29
17,17,17,17,17,17,Sunami Sambar, 1, 15,2017-7-29
18,18,18,18,18,18,Pusanikai, 1, 7,2017-7-29
19,19,19,19,19,19,Kalla Manga/Mango, 1, 40,2017-7-29
20,20,20,20,20,20,Orutu Manga/Mango, 1, 25,2017-7-29
21,21,21,21,21,21,Potato 1st Quality, 1, 28 to 30,2017-7-29
22,22,22,22,22,22,Potato 2nd Quality, 1, 23 to 25,2017-7-29
23,23,23,23,23,23,Coconut 1st Quality, –, 23 to 30,2017-7-29
24,24,24,24,24,24,Coconut 2nd Quality, –, 15,2017-7-29
25,25,25,25,25,25,Green Chilli, 1, 30,2017-7-29
26,26,26,26,26,26,Cauliflower 1st Quality, –, 20,2017-7-29
27,27,27,27,27,27,Cauliflower 2nd Quality, –, 15,2017-7-29
28,28,28,28,28,28,Katharikai Pachai, 1, 32,2017-7-29
29,29,29,29,29,29,Katharikai ootha, 1, 30,2017-7-29
30,30,30,30,30,30,Valai Thar, –, 30,2017-7-29
31,31,31,31,31,31,Karuveppilai/Curry Leaf, 1 Kattu, 15,2017-7-29
32,32,32,32,32,32,Pudalangai/Snake gourd 1st Quality, 1, 25,2017-7-29
33,33,33,33,33,33,Pudalangai/Snake gourd 2nd Quality, 1, 20,2017-7-29
34,34,34,34,34,34,Kothamalli 1st Quality, 1 kattu, 25 to 30,2017-7-29
35,35,35,35,35,35,Kothamalli 2nd Quality, 1 kattu, 20 to 25,2017-7-29
36,36,36,36,36,36,Mullangi 1st Quality, 1, 25 to 30,2017-7-29
37,37,37,37,37,37,Mullangi 2nd Quality, 1, 20 to 25,2017-7-29
38,38,38,38,38,38,Inji/Ginger, 1, 40 to 50,2017-7-29
39,39,39,39,39,39,Butter Beans, 1, 80 to 90,2017-7-29
40,40,40,40,40,40,Mutta Kose, 1, 10 to 12,2017-7-29
41,41,41,41,41,41,Pachai Pattani, 1, 80 to 90,2017-7-29
42,42,42,42,42,42,Pakarkai, 1, 25 to 30,2017-7-29
43,43,43,43,43,43,Nookal, 1, 40 to 50,2017-7-29
44,44,44,44,44,44,Chaw Chaw, 1, 25,2017-7-29
45,45,45,45,45,45,Kovakkai, 1, 25 to 30,2017-7-29
46,46,46,46,46,46,Kothavarangai, 1, 20 to 25,2017-7-29
47,47,47,47,47,47,Nellikai, 1, 45,2017-7-29
48,48,48,48,48,48,Narthangai, 1, 45,2017-7-29
49,49,49,49,49,49,Vellarikai, 1, 25,2017-7-29
