,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,0,0,Lemon, 1, 40to 50,2017-10-28
1,1,1,1,1,1,Tomato/Thakkali 1st Quality, 1, 30 to 35,2017-10-28
2,2,2,2,2,2,Tomato/Thakkali 2nd Quality, 1, 25 to 30,2017-10-28
3,3,3,3,3,3,Small Onion, 1, 120,2017-10-28
4,4,4,4,4,4,Bellary (Big Onion), 1, 35 to 40,2017-10-28
5,5,5,5,5,5,Beans 1st Quality, –, 60 to 70,2017-10-28
6,6,6,6,6,6,Beans 2nd Quality, 1, 55 to 65,2017-10-28
7,7,7,7,7,7,Carrot 1st Quality, 1, 60 to 70,2017-10-28
8,8,8,8,8,8,Carrot 2nd Quality, 1, 55 to 65,2017-10-28
9,9,9,9,9,9,Vendai Kai/Lady Finger, 1, 13,2017-10-28
10,10,10,10,10,10,Maram Murungai, 1, 65,2017-10-28
11,11,11,11,11,11,Chedi Murungai, 1, 45 to 55,2017-10-28
12,12,12,12,12,12,Avarai Ottu, 1, 50 to 60,2017-10-28
13,13,13,13,13,13,Pachai Payaru, 1, 18,2017-10-28
14,14,14,14,14,14,Vellai Payaru, 1, 20,2017-10-28
15,15,15,15,15,15,Suraikai, 1, 5,2017-10-28
16,16,16,16,16,16,Beetroot, 1, 30,2017-10-28
17,17,17,17,17,17,Sunami Sambar, 1, 5,2017-10-28
18,18,18,18,18,18,Pusanikai, 1, 10,2017-10-28
19,19,19,19,19,19,Kalla Manga/Mango, 1, 65,2017-10-28
20,20,20,20,20,20,Orutu Manga/Mango, 1, 60,2017-10-28
21,21,21,21,21,21,Potato 1st Quality, 1, 15 to 18,2017-10-28
22,22,22,22,22,22,Potato 2nd Quality, 1, 10,2017-10-28
23,23,23,23,23,23,Coconut 1st Quality, –, 42,2017-10-28
24,24,24,24,24,24,Coconut 2nd Quality, –, 35,2017-10-28
25,25,25,25,25,25,Green Chilli, 1, 42 to 48,2017-10-28
26,26,26,26,26,26,Cauliflower 1st Quality, –, 40 to 45,2017-10-28
27,27,27,27,27,27,Cauliflower 2nd Quality, –, 35 to 40,2017-10-28
28,28,28,28,28,28,Katharikai Pachai, 1, 30,2017-10-28
29,29,29,29,29,29,Katharikai ootha, 1, 35,2017-10-28
30,30,30,30,30,30,Valai Thar, –, 24 to 26,2017-10-28
31,31,31,31,31,31,Karuveppilai/Curry Leaf, 1 Kattu, 10,2017-10-28
32,32,32,32,32,32,Pudalangai/Snake gourd 1st Quality, 1, 14,2017-10-28
33,33,33,33,33,33,Pudalangai/Snake gourd 2nd Quality, 1, 10,2017-10-28
34,34,34,34,34,34,Kothamalli 1st Quality, 1 kattu, 80 to 85,2017-10-28
35,35,35,35,35,35,Kothamalli 2nd Quality, 1 kattu, 75 to 80,2017-10-28
36,36,36,36,36,36,Mullangi 1st Quality, 1, 35 to 40,2017-10-28
37,37,37,37,37,37,Mullangi 2nd Quality, 1, 30 to 35,2017-10-28
38,38,38,38,38,38,Inji/Ginger, 1, 40 to 45,2017-10-28
39,39,39,39,39,39,Butter Beans, 1, 150,2017-10-28
40,40,40,40,40,40,Mutta Kose, 1, 55 to 60,2017-10-28
41,41,41,41,41,41,Pachai Pattani, 1, 250,2017-10-28
42,42,42,42,42,42,Pakarkai, 1, 20,2017-10-28
43,43,43,43,43,43,Nookal, 1, 40 to 50,2017-10-28
44,44,44,44,44,44,Chaw Chaw, 1, 7,2017-10-28
45,45,45,45,45,45,Kovakkai, 1, 22 to 38,2017-10-28
46,46,46,46,46,46,Kothavarangai, 1, 10 to 11,2017-10-28
47,47,47,47,47,47,Nellikai, 1, 20 to 25,2017-10-28
48,48,48,48,48,48,Narthangai, 1, 25to 30,2017-10-28
49,49,49,49,49,49,Vellarikai, 1, 32,2017-10-28
