,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,0,0,Lemon, 1, 65,2017-5-22
1,1,1,1,1,1,Tomato/Thakkali 1st Quality, 1, 15,2017-5-22
2,2,2,2,2,2,Tomato/Thakkali 2nd Quality, 1, 10,2017-5-22
3,3,3,3,3,3,Small Onion, 1, 90 to110,2017-5-22
4,4,4,4,4,4,Bellary (Big Onion), 1, 10 to13,2017-5-22
5,5,5,5,5,5,Beans 1st Quality, –, 70 to75,2017-5-22
6,6,6,6,6,6,Beans 2nd Quality, 1, 65 to70,2017-5-22
7,7,7,7,7,7,Carrot 1st Quality, 1, 80,2017-5-22
8,8,8,8,8,8,Carrot 2nd Quality, 1, 75,2017-5-22
9,9,9,9,9,9,Vendai Kai/Lady Finger, 1, 15,2017-5-22
10,10,10,10,10,10,Maram Murungai, 1, –,2017-5-22
11,11,11,11,11,11,Chedi Murungai, 1, –,2017-5-22
12,12,12,12,12,12,Avarai Ottu, 1, 9 to15,2017-5-22
13,13,13,13,13,13,Pachai Payaru, 1, 15,2017-5-22
14,14,14,14,14,14,Vellai Payaru, 1, 18,2017-5-22
15,15,15,15,15,15,Suraikai, 1, 7,2017-5-22
16,16,16,16,16,16,Beetroot, 1, 28 to35,2017-5-22
17,17,17,17,17,17,Sunami Sambar, 1, 15,2017-5-22
18,18,18,18,18,18,Pusanikai, 1, 10,2017-5-22
19,19,19,19,19,19,Kalla Manga/Mango, 1, 9,2017-5-22
20,20,20,20,20,20,Orutu Manga/Mango, 1, 7,2017-5-22
21,21,21,21,21,21,Potato 1st Quality, 1, 15 to16,2017-5-22
22,22,22,22,22,22,Potato 2nd Quality, 1, 10,2017-5-22
23,23,23,23,23,23,Coconut 1st Quality, –, 23 to25,2017-5-22
24,24,24,24,24,24,Coconut 2nd Quality, –, 20,2017-5-22
25,25,25,25,25,25,Green Chilli, 1, 35 to45,2017-5-22
26,26,26,26,26,26,Cauliflower 1st Quality, –, 20 to25,2017-5-22
27,27,27,27,27,27,Cauliflower 2nd Quality, –, 15 to20,2017-5-22
28,28,28,28,28,28,Katharikai Pachai, 1, 20 to30,2017-5-22
29,29,29,29,29,29,Katharikai ootha, 1, 25,2017-5-22
30,30,30,30,30,30,Valai Thar, –, 23 to25,2017-5-22
31,31,31,31,31,31,Karuveppilai/Curry Leaf, 1 Kattu, 30,2017-5-22
32,32,32,32,32,32,Pudalangai/Snake gourd 1st Quality, 1, 35 to40,2017-5-22
33,33,33,33,33,33,Pudalangai/Snake gourd 2nd Quality, 1, 30 to35,2017-5-22
34,34,34,34,34,34,Kothamalli 1st Quality, 1 kattu, 80 to100,2017-5-22
35,35,35,35,35,35,Kothamalli 2nd Quality, 1 kattu, 75 to95,2017-5-22
36,36,36,36,36,36,Mullangi 1st Quality, 1, 30,2017-5-22
37,37,37,37,37,37,Mullangi 2nd Quality, 1, 25,2017-5-22
38,38,38,38,38,38,Inji/Ginger, 1, 40,2017-5-22
39,39,39,39,39,39,Butter Beans, 1, 200,2017-5-22
40,40,40,40,40,40,Mutta Kose, 1, 20 to25,2017-5-22
41,41,41,41,41,41,Pachai Pattani, 1, 200,2017-5-22
42,42,42,42,42,42,Pakarkai, 1, 40,2017-5-22
43,43,43,43,43,43,Nookal, 1, 40,2017-5-22
44,44,44,44,44,44,Chaw Chaw, 1, 25,2017-5-22
45,45,45,45,45,45,Kovakkai, 1, 18,2017-5-22
46,46,46,46,46,46,Kothavarangai, 1, 9 to15,2017-5-22
47,47,47,47,47,47,Nellikai, 1, 45,2017-5-22
48,48,48,48,48,48,Narthangai, 1, 90 to100,2017-5-22
49,49,49,49,49,49,Vellarikai, 1, 28,2017-5-22
