,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,0,0,Lemon, 1, 30 to 35,2017-1-28
1,1,1,1,1,1,Tomato/Thakkali 1st Quality, 1, 25 to 30,2017-1-28
2,2,2,2,2,2,Tomato/Thakkali 2nd Quality, 1, 20 to 25,2017-1-28
3,3,3,3,3,3,Small Onion, 1, 20 to 25,2017-1-28
4,4,4,4,4,4,Bellary (Big Onion), 1, 10 to 12,2017-1-28
5,5,5,5,5,5,Beans 1st Quality, 1, 55 to 60,2017-1-28
6,6,6,6,6,6,Beans 2nd Quality, 1, 40 to 50,2017-1-28
7,7,7,7,7,7,Carrot 1st Quality, 1, 12 to 15,2017-1-28
8,8,8,8,8,8,Carrot 2nd Quality, 1, 5 to 10,2017-1-28
9,9,9,9,9,9,Vendai Kai/Lady Finger, 1, 50,2017-1-28
10,10,10,10,10,10,Maram Murungai, 1, 25 to 30,2017-1-28
11,11,11,11,11,11,Chedi Murungai, 1, 35,2017-1-28
12,12,12,12,12,12,Avarai Ottu, 1, 15,2017-1-28
13,13,13,13,13,13,Pachai Payaru, 1, 45,2017-1-28
14,14,14,14,14,14,Vellai Payaru, 1, 23,2017-1-28
15,15,15,15,15,15,Suraikai, 1, 4,2017-1-28
16,16,16,16,16,16,Beetroot, 1, 8,2017-1-28
17,17,17,17,17,17,Sunami Sambar, 1, 12,2017-1-28
18,18,18,18,18,18,Pusanikai, 1, 8,2017-1-28
19,19,19,19,19,19,Kalla Manga/Mango, 1, 21,2017-1-28
20,20,20,20,20,20,Orutu Manga/Mango, 1, 15 to 18,2017-1-28
21,21,21,21,21,21,Potato 1st Quality, 1, 18 to 20,2017-1-28
22,22,22,22,22,22,Potato 2nd Quality, 1, 12 to 15,2017-1-28
23,23,23,23,23,23,Coconut 1st Quality, –, 34 to 35,2017-1-28
24,24,24,24,24,24,Coconut 2nd Quality, –, 25 to 30,2017-1-28
25,25,25,25,25,25,Green Chilli, 1, 21 to 34,2017-1-28
26,26,26,26,26,26,Cauliflower 1st Quality, –, 14 to 15,2017-1-28
27,27,27,27,27,27,Cauliflower 2nd Quality, –, 8 to 10,2017-1-28
28,28,28,28,28,28,Katharikai Pachai, 1, 15 to 20,2017-1-28
29,29,29,29,29,29,Katharikai ootha, 1, 5 to 8,2017-1-28
30,30,30,30,30,30,Valai Thar, –, 26 to 28,2017-1-28
31,31,31,31,31,31,Karuveppilai/Curry Leaf, 1 Kattu, 8 to 10,2017-1-28
32,32,32,32,32,32,Pudalangai/Snake gourd 1st Quality, 1, 10,2017-1-28
33,33,33,33,33,33,Pudalangai/Snake gourd 2nd Quality, 1, 6 to 8,2017-1-28
34,34,34,34,34,34,Kothamalli 1st Quality, 1 Kattu, 12 to 15,2017-1-28
35,35,35,35,35,35,Kothamalli 2nd Quality, 1 Kattu, 8 to 18,2017-1-28
36,36,36,36,36,36,Mullangi 1st Quality, 1, 18,2017-1-28
37,37,37,37,37,37,Mullangi 2nd Quality, 1, 8 to 10,2017-1-28
38,38,38,38,38,38,Inji/Ginger, 1, 25 to 30,2017-1-28
39,39,39,39,39,39,Butter Beans, 1, 70 to 75,2017-1-28
40,40,40,40,40,40,Mutta Kose, 1, 7 to 8,2017-1-28
41,41,41,41,41,41,Pachai Pattani, 1, 28 to 30,2017-1-28
42,42,42,42,42,42,Pakarkai, 1, 26 to 28,2017-1-28
43,43,43,43,43,43,Nookal, 1, 40,2017-1-28
44,44,44,44,44,44,Chaw Chaw, 1, 8 to 10,2017-1-28
