,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,0,0,Lemon, 1, 25 to 30,2017-2-16
1,1,1,1,1,1,Tomato/Thakkali 1st Quality, 1, 20,2017-2-16
2,2,2,2,2,2,Tomato/Thakkali 2nd Quality, 1, 15,2017-2-16
3,3,3,3,3,3,Small Onion, 1, 35 to 40,2017-2-16
4,4,4,4,4,4,Bellary (Big Onion), 1, 12 to 15,2017-2-16
5,5,5,5,5,5,Beans 1st Quality, –, 55,2017-2-16
6,6,6,6,6,6,Beans 2nd Quality, 1, 45,2017-2-16
7,7,7,7,7,7,Carrot 1st Quality, 1, 20 to 25,2017-2-16
8,8,8,8,8,8,Carrot 2nd Quality, 1, 15 to 20,2017-2-16
9,9,9,9,9,9,Vendai Kai/Lady Finger, 1, 50 to 70,2017-2-16
10,10,10,10,10,10,Maram Murungai, 1, 10 to 14,2017-2-16
11,11,11,11,11,11,Chedi Murungai, 1, 12,2017-2-16
12,12,12,12,12,12,Avarai Ottu, 1, 30 to 40,2017-2-16
13,13,13,13,13,13,Pachai Payaru, 1, 45,2017-2-16
14,14,14,14,14,14,Vellai Payaru, 1, 34,2017-2-16
15,15,15,15,15,15,Suraikai, 1, 10,2017-2-16
16,16,16,16,16,16,Beetroot, 1, 9,2017-2-16
17,17,17,17,17,17,Sunami Sambar, 1, 20 to 25,2017-2-16
18,18,18,18,18,18,Pusanikai, 1, 8 to 10,2017-2-16
19,19,19,19,19,19,Kalla Manga/Mango, 1, 22,2017-2-16
20,20,20,20,20,20,Orutu Manga/Mango, 1, 12 to 17,2017-2-16
21,21,21,21,21,21,Potato 1st Quality, 1, 12 to 15,2017-2-16
22,22,22,22,22,22,Potato 2nd Quality, 1, 7 to 10,2017-2-16
23,23,23,23,23,23,Coconut 1st Quality, –, 32 to 36,2017-2-16
24,24,24,24,24,24,Coconut 2nd Quality, –, 27 to 31,2017-2-16
25,25,25,25,25,25,Green Chilli, 1, 14 to 35,2017-2-16
26,26,26,26,26,26,Cauliflower 1st Quality, –, 12 to 15,2017-2-16
27,27,27,27,27,27,Cauliflower 2nd Quality, –, 7 to 10,2017-2-16
28,28,28,28,28,28,Katharikai Pachai, 1, 35 to 40,2017-2-16
29,29,29,29,29,29,Katharikai ootha, 1, 25 to 36,2017-2-16
30,30,30,30,30,30,Valai Thar, –, 28 to 30,2017-2-16
31,31,31,31,31,31,Karuveppilai/Curry Leaf, 1 Kattu, 10,2017-2-16
32,32,32,32,32,32,Pudalangai/Snake gourd 1st Quality, 1, 32,2017-2-16
33,33,33,33,33,33,Pudalangai/Snake gourd 2nd Quality, 1, 27,2017-2-16
34,34,34,34,34,34,Kothamalli 1st Quality, 1 kattu, 15,2017-2-16
35,35,35,35,35,35,Kothamalli 2nd Quality, 1 kattu, 10,2017-2-16
36,36,36,36,36,36,Mullangi 1st Quality, 1, 20 to 25,2017-2-16
37,37,37,37,37,37,Mullangi 2nd Quality, 1, 15 to 20,2017-2-16
38,38,38,38,38,38,Inji/Ginger, 1, 20 to 25,2017-2-16
39,39,39,39,39,39,Butter Beans, 1, 80 to 90,2017-2-16
40,40,40,40,40,40,Mutta Kose, 1, 8 to 10,2017-2-16
41,41,41,41,41,41,Pachai Pattani, 1, 30,2017-2-16
42,42,42,42,42,42,Pakarkai, 1, 34,2017-2-16
43,43,43,43,43,43,Nookal, 1, 20,2017-2-16
44,44,44,44,44,44,Chaw Chaw, 1, 10 to15,2017-2-16
45,45,45,45,45,45,Kovakkai, 1, 25,2017-2-16
46,46,46,46,46,46,Kothavarangai, 1, 25 to 30,2017-2-16
