,Unnamed: 0,Unnamed: 0.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,Lemon, 1, 50 to 60,2017-3-2
1,1,1,Tomato/Thakkali 1st Quality, 1, 20 to 25,2017-3-2
2,2,2,Tomato/Thakkali 2nd Quality, 1, 15 to 20,2017-3-2
3,3,3,Small Onion, 1, 45 to 5 5,2017-3-2
4,4,4,Bellary (Big Onion), 1, 10 to 12,2017-3-2
5,5,5,Beans 1st Quality, –, 55 to 80,2017-3-2
6,6,6,Beans 2nd Quality, 1, 50 to 75,2017-3-2
7,7,7,Carrot 1st Quality, 1, 30 to 45,2017-3-2
8,8,8,Carrot 2nd Quality, 1, 25 to 40,2017-3-2
9,9,9,Vendai Kai/Lady Finger, 1, 25,2017-3-2
10,10,10,Maram Murungai, 1, 5 to 6,2017-3-2
11,11,11,Chedi Murungai, 1, 8,2017-3-2
12,12,12,Avarai Ottu, 1, 50 to 60,2017-3-2
13,13,13,Pachai Payaru, 1, 50,2017-3-2
14,14,14,Vellai Payaru, 1, 45,2017-3-2
15,15,15,Suraikai, 1, 6,2017-3-2
16,16,16,Beetroot, 1, 18 to 20,2017-3-2
17,17,17,Sunami Sambar, 1, 13 to 16,2017-3-2
18,18,18,Pusanikai, 1, 16 to 17,2017-3-2
19,19,19,Kalla Manga/Mango, 1, 12 to 15,2017-3-2
20,20,20,Orutu Manga/Mango, 1, 12,2017-3-2
21,21,21,Potato 1st Quality, 1, 12 to 15,2017-3-2
22,22,22,Potato 2nd Quality, 1, 7 to 10,2017-3-2
23,23,23,Coconut 1st Quality, –, 25,2017-3-2
24,24,24,Coconut 2nd Quality, –, 20,2017-3-2
25,25,25,Green Chilli, 1, 17 to 40,2017-3-2
26,26,26,Cauliflower 1st Quality, –, 20 to 25,2017-3-2
27,27,27,Cauliflower 2nd Quality, –, 15 to 20,2017-3-2
28,28,28,Katharikai Pachai, 1, 25,2017-3-2
29,29,29,Katharikai ootha, 1, 20,2017-3-2
30,30,30,Valai Thar, –, 25,2017-3-2
31,31,31,Karuveppilai/Curry Leaf, 1 Kattu, 20,2017-3-2
32,32,32,Pudalangai/Snake gourd 1st Quality, 1, 30,2017-3-2
33,33,33,Pudalangai/Snake gourd 2nd Quality, 1, 25,2017-3-2
34,34,34,Kothamalli 1st Quality, 1 kattu, 15 to 20,2017-3-2
35,35,35,Kothamalli 2nd Quality, 1 kattu, 10 to 15,2017-3-2
36,36,36,Mullangi 1st Quality, 1, 20 to 25,2017-3-2
37,37,37,Mullangi 2nd Quality, 1, 15 to 20,2017-3-2
38,38,38,Inji/Ginger, 1, 25,2017-3-2
39,39,39,Butter Beans, 1, 120,2017-3-2
40,40,40,Mutta Kose, 1, 12 to 15,2017-3-2
41,41,41,Pachai Pattani, 1, 45 to 55,2017-3-2
42,42,42,Pakarkai, 1, 35 to 45,2017-3-2
43,43,43,Nookal, 1, 20 to 25,2017-3-2
44,44,44,Chaw Chaw, 1, 25 to 30,2017-3-2
45,45,45,Kovakkai, 1, 23,2017-3-2
46,46,46,Kothavarangai, 1, 25,2017-3-2
