,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,0,0,Lemon, 1, 75 to 80,2017-0-31
1,1,1,1,1,1,Tomato/Thakkali 1st Quality, 1, 15 to 20,2017-0-31
2,2,2,2,2,2,Tomato/Thakkali 2nd Quality, 1, 10,2017-0-31
3,3,3,3,3,3,Small Onion, 1, 80 to 100,2017-0-31
4,4,4,4,4,4,Bellary (Big Onion), 1, 25 to 30,2017-0-31
5,5,5,5,5,5,Beans 1st Quality, –, 65 to 70,2017-0-31
6,6,6,6,6,6,Beans 2nd Quality, 1, 60 to 65,2017-0-31
7,7,7,7,7,7,Carrot 1st Quality, 1, 35 to 40,2017-0-31
8,8,8,8,8,8,Carrot 2nd Quality, 1, 30 to 35,2017-0-31
9,9,9,9,9,9,Vendai Kai/Lady Finger, 1, 8,2017-0-31
10,10,10,10,10,10,Maram Murungai, 1, 80,2017-0-31
11,11,11,11,11,11,Chedi Murungai, 1, 60 to70,2017-0-31
12,12,12,12,12,12,Avarai Ottu, 1, 65,2017-0-31
13,13,13,13,13,13,Pachai Payaru, 1, 28,2017-0-31
14,14,14,14,14,14,Vellai Payaru, 1, 35,2017-0-31
15,15,15,15,15,15,Suraikai, 1, 4,2017-0-31
16,16,16,16,16,16,Beetroot, 1, 18 to 20,2017-0-31
17,17,17,17,17,17,Sunami Sambar, 1, 5.50,2017-0-31
18,18,18,18,18,18,Pusanikai, 1, 12,2017-0-31
19,19,19,19,19,19,Kalla Manga/Mango, 1, 65,2017-0-31
20,20,20,20,20,20,Orutu Manga/Mango, 1, 100,2017-0-31
21,21,21,21,21,21,Potato 1st Quality, 1, 15 to 20,2017-0-31
22,22,22,22,22,22,Potato 2nd Quality, 1, 10,2017-0-31
23,23,23,23,23,23,Coconut 1st Quality, –, 26,2017-0-31
24,24,24,24,24,24,Coconut 2nd Quality, –, 21,2017-0-31
25,25,25,25,25,25,Green Chilli, 1, 33 to 36,2017-0-31
26,26,26,26,26,26,Cauliflower 1st Quality, –, 25,2017-0-31
27,27,27,27,27,27,Cauliflower 2nd Quality, –, 20,2017-0-31
28,28,28,28,28,28,Katharikai Pachai, 1, 60,2017-0-31
29,29,29,29,29,29,Katharikai ootha, 1, 40,2017-0-31
30,30,30,30,30,30,Valai Thar, –, 26,2017-0-31
31,31,31,31,31,31,Karuveppilai/Curry Leaf, 1 Kattu, 10,2017-0-31
32,32,32,32,32,32,Pudalangai/Snake gourd 1st Quality, 1, 11,2017-0-31
33,33,33,33,33,33,Pudalangai/Snake gourd 2nd Quality, 1, –,2017-0-31
34,34,34,34,34,34,Kothamalli 1st Quality, 1 kattu, 60,2017-0-31
35,35,35,35,35,35,Kothamalli 2nd Quality, 1 kattu, 55,2017-0-31
36,36,36,36,36,36,Mullangi 1st Quality, 1, 28,2017-0-31
37,37,37,37,37,37,Mullangi 2nd Quality, 1, 23,2017-0-31
38,38,38,38,38,38,Inji/Ginger, 1, 40,2017-0-31
39,39,39,39,39,39,Butter Beans, 1, 120,2017-0-31
40,40,40,40,40,40,Mutta Kose, 1, 35,2017-0-31
41,41,41,41,41,41,Pachai Pattani, 1, 150,2017-0-31
42,42,42,42,42,42,Pakarkai, 1, 25,2017-0-31
43,43,43,43,43,43,Nookal, 1, 40,2017-0-31
44,44,44,44,44,44,Chaw Chaw, 1, 12,2017-0-31
45,45,45,45,45,45,Kovakkai, 1, 22,2017-0-31
46,46,46,46,46,46,Kothavarangai, 1, 13,2017-0-31
47,47,47,47,47,47,Nellikai, 1, 30,2017-0-31
48,48,48,48,48,48,Narthangai, 1, 30,2017-0-31
49,49,49,49,49,49,Vellarikai, 1, 21,2017-0-31
