Commodity, Weight in Kg, Price in Rs
Lemon, 1, 30 to 40
Tomato/Thakkali 1st Quality, 1, 70to 80
Tomato/Thakkali 2nd Quality, 1, 65to 75
Small Onion, 1, 70 to 80
Bellary (Big Onion), 1, 11 to 12
Beans 1st Quality, –, 35 to 45
Beans 2nd Quality, 1, 30 to 40
Carrot 1st Quality, 1, 55 to 65
Carrot 2nd Quality, 1, 50 to 60
Vendai Kai/Lady Finger, 1, 26 to 30
Maram Murungai, 1, 27
Chedi Murungai, 1, 22
Avarai Ottu, 1, 55 to 60
Pachai Payaru, 1, 20
Vellai Payaru, 1, 25
Suraikai, 1, 7
Beetroot, 1, 22
Sunami Sambar, 1, 15
Pusanikai, 1, 6 to 7
Kalla Manga/Mango, 1, 32
Orutu Manga/Mango, 1, 15
Potato 1st Quality, 1, 15 to 18
Potato 2nd Quality, 1, 10
Coconut 1st Quality, –, 25 to 29
Coconut 2nd Quality, –, 20 to 24
Green Chilli, 1, 55 to 67
Cauliflower 1st Quality, –, 25 to 30
Cauliflower 2nd Quality, –, 20 to 25
Katharikai Pachai, 1, 30
Katharikai ootha, 1, 20
Valai Thar, –, 28 to 30
Karuveppilai/Curry Leaf, 1 Kattu, 20 to 30
Pudalangai/Snake gourd 1st Quality, 1, 16
Pudalangai/Snake gourd 2nd Quality, 1, 10
Kothamalli 1st Quality, 1 kattu, 30 to 40
Kothamalli 2nd Quality, 1 kattu, 25 to 35
Mullangi 1st Quality, 1, 20 to 30
Mullangi 2nd Quality, 1, 15 to 25
Inji/Ginger, 1, 40
Butter Beans, 1, 120
Mutta Kose, 1, 12
Pachai Pattani, 1, 120
Pakarkai, 1, 30
Nookal, 1, 40
Chaw Chaw, 1, 12
Kovakkai, 1, 25
Kothavarangai, 1, 20
Nellikai, 1, 40
Narthangai, 1, 40
Vellarikai, 1, 25
