,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Lemon, 1, 30 to 40,2017-10-30
1,1,Tomato/Thakkali 1st Quality, 1, 25 to 40,2017-10-30
2,2,Tomato/Thakkali 2nd Quality, 1, 20 to 35,2017-10-30
3,3,Small Onion, 1, 100 to 110,2017-10-30
4,4,Bellary (Big Onion), 1, 35 to 42,2017-10-30
5,5,Beans 1st Quality, –, 50 to 60,2017-10-30
6,6,Beans 2nd Quality, 1, 45 to 50,2017-10-30
7,7,Carrot 1st Quality, 1, 45 to 50,2017-10-30
8,8,Carrot 2nd Quality, 1, 35 to 45,2017-10-30
9,9,Vendai Kai/Lady Finger, 1, 6 to 8,2017-10-30
10,10,Maram Murungai, 1, –,2017-10-30
11,11,Chedi Murungai, 1, –,2017-10-30
12,12,Avarai Ottu, 1, 32,2017-10-30
13,13,Pachai Payaru, 1, 17,2017-10-30
14,14,Vellai Payaru, 1, 20,2017-10-30
15,15,Suraikai, 1, 5,2017-10-30
16,16,Beetroot, 1, 30,2017-10-30
17,17,Sunami Sambar, 1, 3 to 8,2017-10-30
18,18,Pusanikai, 1, 6 to 8,2017-10-30
19,19,Kalla Manga/Mango, 1, 60,2017-10-30
20,20,Orutu Manga/Mango, 1, 65 to 85,2017-10-30
21,21,Potato 1st Quality, 1, 15,2017-10-30
22,22,Potato 2nd Quality, 1, 10,2017-10-30
23,23,Coconut 1st Quality, –, 40 to 42,2017-10-30
24,24,Coconut 2nd Quality, –, 35,2017-10-30
25,25,Green Chilli, 1, 33 to 40,2017-10-30
26,26,Cauliflower 1st Quality, –, 60 to 70,2017-10-30
27,27,Cauliflower 2nd Quality, –, 55 to 65,2017-10-30
28,28,Katharikai Pachai, 1, 25,2017-10-30
29,29,Katharikai ootha, 1, 30,2017-10-30
30,30,Valai Thar, –, 24 to 26,2017-10-30
31,31,Karuveppilai/Curry Leaf, 1 Kattu, 10,2017-10-30
32,32,Pudalangai/Snake gourd 1st Quality, 1, 10,2017-10-30
33,33,Pudalangai/Snake gourd 2nd Quality, 1, –,2017-10-30
34,34,Kothamalli 1st Quality, 1 kattu, 65 to 75,2017-10-30
35,35,Kothamalli 2nd Quality, 1 kattu, 60 to 70,2017-10-30
36,36,Mullangi 1st Quality, 1, 40 to 50,2017-10-30
37,37,Mullangi 2nd Quality, 1, 35 to 45,2017-10-30
38,38,Inji/Ginger, 1, 45 to 50,2017-10-30
39,39,Butter Beans, 1, 120 to 150,2017-10-30
40,40,Mutta Kose, 1, 60 to 70,2017-10-30
41,41,Pachai Pattani, 1, 250,2017-10-30
42,42,Pakarkai, 1, 25,2017-10-30
43,43,Nookal, 1, 30 to 40,2017-10-30
44,44,Chaw Chaw, 1, 7,2017-10-30
45,45,Kovakkai, 1, 38,2017-10-30
46,46,Kothavarangai, 1, 10 to 12,2017-10-30
47,47,Nellikai, 1, 20 to 25,2017-10-30
48,48,Narthangai, 1, 20 to 25,2017-10-30
49,49,Vellarikai, 1, 33,2017-10-30
