,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai Belt, 1, 56,2014-7-24
1,Avarai Kolee, 1, 35,2014-7-24
2,Avarai ottu, 1, –,2014-7-24
3,Beans, 1, 45,2014-7-24
4,Beetroot, 1, 25,2014-7-24
5,Bellary, 1, 35,2014-7-24
6,C Flower, 1Flower, 15,2014-7-24
7,C Vengayam, 1, 26,2014-7-24
8,Chaw Chaw, 1, 23,2014-7-24
9,Kaththari Disco, 1, 25,2014-7-24
10,Kaththari Green, 1, 25,2014-7-24
11,Kothavarai, 1, 21,2014-7-24
12,Milagai Sambar, 1, 25,2014-7-24
13,Milagai urundai, 1, 42,2014-7-24
14,Mullaingi, 1, 6,2014-7-24
15,Murungai chedi, 1, 27,2014-7-24
16,Murungai Maram, 1, 20,2014-7-24
17,Nelli, 1, 34,2014-7-24
18,Pavarkai, 1, 32,2014-7-24
19,Perkangkai, 1, 28,2014-7-24
20,Pudalai, 1, 18,2014-7-24
21,Red Pusanikkai, 1, 11,2014-7-24
22,Sambar Vellari, 1, 5,2014-7-24
23,Suraikai, 1, 8,2014-7-24
24,Thakkali, 1, 46,2014-7-24
25,Thatta payaru, 1, 14,2014-7-24
26,Vendai, 1, 25,2014-7-24
