,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai Belt, 1, 56,2014-7-27
1,Avarai Kolee, 1, 35,2014-7-27
2,Avarai ottu, 1, –,2014-7-27
3,Beans, 1, 45,2014-7-27
4,Beetroot, 1, 25,2014-7-27
5,Bellary, 1, 35,2014-7-27
6,C Flower, 1Flower, 15,2014-7-27
7,C Vengayam, 1, 26,2014-7-27
8,Chaw Chaw, 1, 23,2014-7-27
9,Kaththari Disco, 1, 25,2014-7-27
10,Kaththari Green, 1, 25,2014-7-27
11,Kothavarai, 1, 21,2014-7-27
12,Milagai Sambar, 1, 25,2014-7-27
13,Milagai urundai, 1, 42,2014-7-27
14,Mullaingi, 1, 6,2014-7-27
15,Murungai chedi, 1, 27,2014-7-27
16,Murungai Maram, 1, 20,2014-7-27
17,Nelli, 1, 34,2014-7-27
18,Pavarkai, 1, 32,2014-7-27
19,Perkangkai, 1, 28,2014-7-27
20,Pudalai, 1, 18,2014-7-27
21,Red Pusanikkai, 1, 11,2014-7-27
22,Sambar Vellari, 1, 5,2014-7-27
23,Suraikai, 1, 8,2014-7-27
24,Thakkali, 1, 46,2014-7-27
25,Thatta payaru, 1, 14,2014-7-27
26,Vendai, 1, 25,2014-7-27
