,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,Avarai Belt, 1, 56,2014-7-30
1,1,1,1,Avarai Kolee, 1, 37,2014-7-30
2,2,2,2,Avarai ottu, 1, –,2014-7-30
3,3,3,3,Beans, 1, 47,2014-7-30
4,4,4,4,Beetroot, 1, 25,2014-7-30
5,5,5,5,Bellary, 1, 35,2014-7-30
6,6,6,6,C Flower, 1Flower, 14,2014-7-30
7,7,7,7,C Vengayam, 1, 30,2014-7-30
8,8,8,8,Chaw Chaw, 1, 23,2014-7-30
9,9,9,9,Kaththari Disco, 1, 25,2014-7-30
10,10,10,10,Kaththari Green, 1, 25,2014-7-30
11,11,11,11,Kothavarai, 1, 21,2014-7-30
12,12,12,12,Milagai Sambar, 1, 25,2014-7-30
13,13,13,13,Milagai urundai, 1, 42,2014-7-30
14,14,14,14,Mullaingi, 1, 7,2014-7-30
15,15,15,15,Murungai chedi, 1, 19,2014-7-30
16,16,16,16,Murungai Maram, 1, 15,2014-7-30
17,17,17,17,Nelli, 1, 34,2014-7-30
18,18,18,18,Pavarkai, 1, 33,2014-7-30
19,19,19,19,Perkangkai, 1, 30,2014-7-30
20,20,20,20,Pudalai, 1, 18,2014-7-30
21,21,21,21,Red Pusanikkai, 1, 10,2014-7-30
22,22,22,22,Sambar Vellari, 1, 5,2014-7-30
23,23,23,23,Suraikai, 1, 8,2014-7-30
24,24,24,24,Thakkali, 1, 40,2014-7-30
25,25,25,25,Thatta payaru, 1, 14,2014-7-30
26,26,26,26,Vendai, 1, 25,2014-7-30
