,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai Belt, 1, 40,2014-5-20
1,Avarai Kolee, 1, 30,2014-5-20
2,Avarai ottu, 1, –,2014-5-20
3,Beans, 1, 20,2014-5-20
4,Beetroot, 1, 14,2014-5-20
5,Bellary, 1, 16,2014-5-20
6,C Flower, 1Flower, 11,2014-5-20
7,C Vengayam, 1, 23,2014-5-20
8,Chaw Chaw, 1, 25,2014-5-20
9,Kaththari Disco, 1, 15,2014-5-20
10,Kaththari Green, 1, 17,2014-5-20
11,Kothavarai, 1, 20,2014-5-20
12,Milagai Sambar, 1, 22,2014-5-20
13,Milagai urundai, 1, 85,2014-5-20
14,Mullaingi, 1, 6,2014-5-20
15,Murungai chedi, 1, 20,2014-5-20
16,Murungai Maram, 1, 10,2014-5-20
17,Nelli, 1, 29,2014-5-20
18,Pavarkai, 1, 20,2014-5-20
19,Perkangkai, 1, 20,2014-5-20
20,Pudalai, 1, 20,2014-5-20
21,Red Pusanikkai, 1, 5,2014-5-20
22,Sambar Vellari, 1, 06,2014-5-20
23,Suraikai, 1, 10,2014-5-20
24,Thakkali, 1, 6,2014-5-20
25,Thatta payaru, 1, 20,2014-5-20
26,Vendai, 1, 14,2014-5-20
