,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,Avarai Belt / அவரை (பெல்ட்), 1, 05,2014-2-10
1,1,1,1,Avarai Kolee / அவரை (கோலி), 1, 05,2014-2-10
2,2,2,2,Avarai ottu  / அவரை (ஒட்டு), 1, –,2014-2-10
3,3,3,3,Beans / பீன்ஸ், 1, 10,2014-2-10
4,4,4,4,Beetroot / பீட்ரூட், 1, 09,2014-2-10
5,5,5,5,Bellary / பெல்லாரி, 1, 15,2014-2-10
6,6,6,6,C Flower / காளிபிளவர், 1Flower, 20,2014-2-10
7,7,7,7,C Vengayam / சின்னவெங்காயம், 1, 23,2014-2-10
8,8,8,8,Chaw Chaw / சவ்சவ், 1, 06,2014-2-10
9,9,9,9,Kaththari Disco / கத்தரி(டிஸ்கோ), 1, 10,2014-2-10
10,10,10,10,Kaththari Green / கத்தரி(பச்சை), 1, 07,2014-2-10
11,11,11,11,Kothavarai / கொத்தவரை, 1, 21,2014-2-10
12,12,12,12,Milagai Sambar  / மிளகாய்(சாம்பார்), 1, 09,2014-2-10
13,13,13,13,Milagai urundai / மிளகாய்(உருண்டை), 1, 10,2014-2-10
14,14,14,14,Mullaingi / முள்ளங்கி, 1, 07,2014-2-10
15,15,15,15,Murungai chedi / முருங்கை(செடி), 1, 95,2014-2-10
16,16,16,16,Murungai Maram / முருங்கை(மரம்), 1, 88,2014-2-10
17,17,17,17,Nelli / நெல்லி, 1, 16,2014-2-10
18,18,18,18,Pavarkai / பாகற்காய், 1, 10,2014-2-10
19,19,19,19,Perkangkai / பீர்க்கங்காய், 1, 10,2014-2-10
20,20,20,20,Pudalai / புடலங்காய், 1, 06,2014-2-10
21,21,21,21,Red Pusanikkai / சிகப்பு பூசணிக்காய், 1, 05,2014-2-10
22,22,22,22,Sambar Vellari / சாம்பார் வெள்ளரி, 1, 6.50,2014-2-10
23,23,23,23,Suraikai / சுரைக்காய், 1, 03,2014-2-10
24,24,24,24,Thakkali / தக்காளி, 1, 2.50,2014-2-10
25,25,25,25,Thatta payaru / தட்டப்பயிறு, 1, 10,2014-2-10
26,26,26,26,Vendai / வெண்டைக்காய், 1, 17,2014-2-10
