,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai Belt, 1, 50,2014-12-9
1,Avarai Kolee, 1, 36,2014-12-9
2,Avarai ottu, 1, –,2014-12-9
3,Beans, 1, 25,2014-12-9
4,Beetroot, 1, 12,2014-12-9
5,Bellary, 1, 21,2014-12-9
6,C Flower, 1 Flower, 13,2014-12-9
7,C Vengayam, 1, 30,2014-12-9
8,Chaw Chaw, 1, 25,2014-12-9
9,Kaththari Disco, 1, 28,2014-12-9
10,Kaththari Green, 1, 32,2014-12-9
11,Kothavarai, 1, 17,2014-12-9
12,Milagai Samba, 1, 20,2014-12-9
13,Milagai urundai, 1, 20,2014-12-9
14,Mullaingi, 1, 8,2014-12-9
15,Murungai chedi, 1, 45,2014-12-9
16,Murungai Maram, 1, 40,2014-12-9
17,Nelli, 1, 12,2014-12-9
18,Pavarkai, 1, 27,2014-12-9
19,Perkangkai, 1, 20,2014-12-9
20,Pudalai, 1, 20,2014-12-9
21,Red Pusanikkai, 1, 2,2014-12-9
22,Sambar Vellari, 1, 5,2014-12-9
23,Suraikai, 1, 8,2014-12-9
24,Thakkali, 1, 14,2014-12-9
25,Thatta payaru, 1, 35,2014-12-9
26,Vendai, 1, 12,2014-12-9
