,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,Avarai Belt, 1, 40,2014-6-7
1,1,1,1,Avarai Kolee, 1, 30,2014-6-7
2,2,2,2,Avarai ottu, 1, –,2014-6-7
3,3,3,3,Beans, 1, 30,2014-6-7
4,4,4,4,Beetroot, 1, 14,2014-6-7
5,5,5,5,Bellary, 1, 16,2014-6-7
6,6,6,6,C Flower, 1Flower, 11,2014-6-7
7,7,7,7,C Vengayam, 1, 23,2014-6-7
8,8,8,8,Chaw Chaw, 1, 25,2014-6-7
9,9,9,9,Kaththari Disco, 1, 15,2014-6-7
10,10,10,10,Kaththari Green, 1, 17,2014-6-7
11,11,11,11,Kothavarai, 1, 20,2014-6-7
12,12,12,12,Milagai Sambar, 1, 22,2014-6-7
13,13,13,13,Milagai urundai, 1, 85,2014-6-7
14,14,14,14,Mullaingi, 1, 6,2014-6-7
15,15,15,15,Murungai chedi, 1, 32,2014-6-7
16,16,16,16,Murungai Maram, 1, 28,2014-6-7
17,17,17,17,Nelli, 1, 29,2014-6-7
18,18,18,18,Pavarkai, 1, 23,2014-6-7
19,19,19,19,Perkangkai, 1, 23,2014-6-7
20,20,20,20,Pudalai, 1, 20,2014-6-7
21,21,21,21,Red Pusanikkai, 1, 5,2014-6-7
22,22,22,22,Sambar Vellari, 1, 06,2014-6-7
23,23,23,23,Suraikai, 1, 10,2014-6-7
24,24,24,24,Thakkali, 1, 15,2014-6-7
25,25,25,25,Thatta payaru, 1, 20,2014-6-7
26,26,26,26,Vendai, 1, 16,2014-6-7
