,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,Avarai Belt, 1, 50,2014-11-28
1,1,1,1,Avarai Kolee, 1, 40,2014-11-28
2,2,2,2,Avarai ottu, 1, –,2014-11-28
3,3,3,3,Beans, 1, 22,2014-11-28
4,4,4,4,Beetroot, 1, 12,2014-11-28
5,5,5,5,Bellary, 1, 21,2014-11-28
6,6,6,6,C Flower, 1 Flower, 13,2014-11-28
7,7,7,7,C Vengayam, 1, 30,2014-11-28
8,8,8,8,Chaw Chaw, 1, 25,2014-11-28
9,9,9,9,Kaththari Disco, 1, 32,2014-11-28
10,10,10,10,Kaththari Green, 1, 32,2014-11-28
11,11,11,11,Kothavarai, 1, 19,2014-11-28
12,12,12,12,Milagai Samba, 1, 24,2014-11-28
13,13,13,13,Milagai urundai, 1, 21,2014-11-28
14,14,14,14,Mullaingi, 1, 8,2014-11-28
15,15,15,15,Murungai chedi, 1, 50,2014-11-28
16,16,16,16,Murungai Maram, 1, 35,2014-11-28
17,17,17,17,Nelli, 1, 12,2014-11-28
18,18,18,18,Pavarkai, 1, 24,2014-11-28
19,19,19,19,Perkangkai, 1, 20,2014-11-28
20,20,20,20,Pudalai, 1, 25,2014-11-28
21,21,21,21,Red Pusanikkai, 1, 3,2014-11-28
22,22,22,22,Sambar Vellari, 1, 5,2014-11-28
23,23,23,23,Suraikai, 1, 3,2014-11-28
24,24,24,24,Thakkali, 1, 15,2014-11-28
25,25,25,25,Thatta payaru, 1, 35,2014-11-28
26,26,26,26,Vendai, 1, 9,2014-11-28
